name	gene	chrom	strand	lo	hi	prox	dist	span	direction	max_abs_dprop	qmax	tx	reads	step_prox	step_dist	depth_prox	depth_dist	frac_prox_first	frac_prox_last	peak_shift	n_cells_SPC	n_cells_RS	n_cells_ES
Atg12	ENSMUSG00000032905	18	-	46731224	46735455	46734255	46732424	1831	shortening	0.6499202551834131	9.513543126396391e-12	ENSMUST00000035648	3319	145.94	2190.95	574.28	208.13	0.3358268440738243	0.8830305715551617	True	370	504	356
Sun1	ENSMUSG00000036817	5	+	139247458	139250991	139248658	139249791	1133	shortening	0.6442307692307693	1.883082711251048e-05	ENSMUST00000058716	964	87.01	438.54	217.94	57.0	0.20771513353115728	0.9343425752679027	True	370	504	356
Efhd2	ENSMUSG00000040659	4	-	141857263	141860811	141859611	141858463	1148	shortening	0.6355368234250223	0.0063695322933406	ENSMUST00000036854	1017	382.2	5.66	229.31	46.99	0.3061585058051489	0.8898825179729967	True	370	504	356
Usp20	ENSMUSG00000026854	2	+	31020522	31023840	31021722	31022640	918	shortening	0.6341880341880342	7.312678166178682e-15	ENSMUST00000102849	1013	14.02	43.14	81.89	162.42	0.05408325389259613	0.8148936170212766	True	370	504	356
Rabl3	ENSMUSG00000022827	16	+	37570170	37573580	37571370	37572380	1010	shortening	0.6305595408895265	8.061396253585373e-12	ENSMUST00000023524	373	60.84	815.6	57.78	40.77	0.3605136933312703	0.7399553571428571	True	370	504	356
Rad21	ENSMUSG00000022314	15	-	51961403	51965143	51963943	51962603	1340	shortening	0.6303418803418803	7.612011077993752e-05	ENSMUST00000022927	544	9.38	758.5	104.53	7.58	0.3548387096774194	1.0	True	370	504	356
Slc7a6	ENSMUSG00000031904	8	+	106195550	106199222	106196750	106198022	1272	shortening	0.6273291925465838	0.0204180688693065	ENSMUST00000034378	289	88.42	964.4	28.72	24.1	0.2444566110046537	0.8995502248875562	True	370	504	356
Pctp	ENSMUSG00000020553	11	-	89982227	89985755	89984555	89983427	1128	shortening	0.6229860365198712	0.0011193707779067	ENSMUST00000020864	356	0.93	101.85	15.3	56.01	0.11053440984236831	0.9268476621417798	True	370	504	356
Med22	ENSMUSG00000015776	2	-	26904066	26909096	26907896	26905266	2630	shortening	0.6189928530354063	0.003171905267242	ENSMUST00000102899	1424	39.88	1642.9	19.53	345.0	0.010021231422505307	0.6677966101694915	True	370	504	356
Ifngr2	ENSMUSG00000022965	16	+	91562046	91565204	91563246	91564004	758	shortening	0.6118793211816467	0.0021112532710968	ENSMUST00000023687	724	63.51	925.14	143.21	32.37	0.24972497249724973	0.9838477530785223	True	370	504	356
Epb41l2	ENSMUSG00000019978	10	+	25521248	25524713	25522448	25523513	1065	shortening	0.6060744810744811	1.468137890430682e-06	ENSMUST00000053748	1799	36.15	725.2	353.14	163.16	0.4094280928451783	0.9856502242152466	True	370	504	356
Slc39a3	ENSMUSG00000046822	10	-	81027339	81031992	81030792	81028539	2253	shortening	0.6023974455165675	4.800525105693407e-07	ENSMUST00000117276	1471	23380.0	6695.25	233.79	133.9	0.5328017904602043	0.8375973303670745	True	370	504	356
Atp6ap2	ENSMUSG00000031007	X	+	12614800	12617939	12616000	12616739	739	shortening	0.6021505376344085	0.0007182439480617	ENSMUST00000033313	90	63.15	11.8	12.94	5.89	0.31970260223048325	0.0	False	370	504	356
Wdr5	ENSMUSG00000026917	2	+	27534110	27537734	27535310	27536534	1224	shortening	0.5860491709548312	0.0017905343117092	ENSMUST00000113952	444	30.87	3544.33	50.46	53.16	0.177573113588625	0.678391959798995	True	370	504	356
Oaz2	ENSMUSG00000040652	9	+	65688257	65691496	65689457	65690296	839	shortening	0.5820867614061331	0.0002317476473316	ENSMUST00000153700	5035	195.43	1832.33	557.93	870.34	0.13140534262485482	0.5271053958648513	True	370	504	356
Trabd	ENSMUSG00000015363	15	+	89084932	89088270	89086132	89087070	938	shortening	0.5793650793650793	0.0310761322521813	ENSMUST00000081702	480	76.28	264.45	69.4	58.17	0.41372315035799523	0.87146614069691	True	370	504	356
Chp1	ENSMUSG00000014077	2	+	119584142	119588226	119585342	119587026	1684	shortening	0.5786163522012578	1.682476729919841e-06	ENSMUST00000014221	427	3418.0	2909.67	51.26	43.64	0.29606351306649026	0.839911061700945	True	370	504	356
Fnbp4	ENSMUSG00000008200	2	+	90778517	90781673	90779717	90780473	756	shortening	0.5757575757575758	0.0485260969177469	ENSMUST00000238890	341	12.97	80.16	33.14	39.27	0.006998444790046656	1.0	True	370	504	356
Ppp4r2	ENSMUSG00000052144	6	+	100865477	100869209	100866677	100868009	1332	shortening	0.5727076770021555	1.0062686054338369e-07	ENSMUST00000063854	1440	169.66	1.51	262.96	8.82	0.6703427719821162	1.0	True	370	504	356
D1Ertd622e	ENSMUSG00000044768	1	-	97634909	97645100	97643900	97636109	7791	lengthening	0.5646411602900725	0.0005244014090962	ENSMUST00000053033	480	6868.5	1335.0	68.68	13.34	0.9948979591836735	0.0	True	370	504	356
Necap2	ENSMUSG00000028923	4	-	141065316	141068450	141067250	141066516	734	shortening	0.5569094238625159	0.0131572495423195	ENSMUST00000030760	1132	42.82	1100.57	178.98	115.55	0.461892247043364	0.9412992434124706	True	370	504	356
Slc9a8	ENSMUSG00000039463	2	+	167473438	167478199	167474638	167476999	2361	shortening	0.5531135531135531	0.0013708936227269	ENSMUST00000047815	316	178.85	1545.25	52.75	30.9	0.29829115293099717	0.795417348608838	True	370	504	356
Picalm	ENSMUSG00000039361	7	+	90206598	90210129	90207798	90208929	1131	shortening	0.5473496128648004	0.0005588513579991	ENSMUST00000207225	716	37.28	59.89	133.82	76.66	0.49163921966050167	0.8858770718232044	True	370	504	356
Itch	ENSMUSG00000027598	2	+	155223409	155227683	155224609	155226483	1874	shortening	0.5416666666666666	0.0360872081568454	ENSMUST00000029126	194	14.8	0.04	42.1	0.38	0.5267512410369554	1.0	True	370	504	356
Tbc1d1	ENSMUSG00000029174	5	+	64349008	64352680	64350208	64351480	1272	shortening	0.531524926686217	2.2396304281292665e-06	ENSMUST00000043893	1026	672.83	3299.5	161.47	98.98	0.4007481138654663	0.9386084583901774	True	370	504	356
Smad5	ENSMUSG00000021540	13	+	56736444	56743573	56737644	56742373	4729	shortening	0.5308823529411766	0.0252752947102176	ENSMUST00000069557	164	19.51	1427.0	23.21	14.26	0.2769328263624842	0.7101449275362319	True	370	504	356
Clec16a	ENSMUSG00000068663	16	+	10743463	10746072	10744663	10744872	209	lengthening	0.5281531531531531	0.0080988577860449	ENSMUST00000115824	544	0.13	1366.92	23.38	177.69	0.6641773808607283	0.5683962887578969	False	370	504	356
Gm15097	ENSMUSG00000094378	X	+	149825041	149827892	149826241	149826692	451	shortening	0.5233201581027668	0.0010204204361718	ENSMUST00000101180	167	3.71	1430.5	50.7	14.3	0.941025641025641	0.9892786234281933	False	370	504	356
App	ENSMUSG00000022892	16	-	84953239	84956428	84955228	84954439	789	shortening	0.5206949412365867	0.0005460317996706	ENSMUST00000227723	1496	24.5	2666.5	455.96	26.66	0.8931979070483226	0.993891797556719	False	370	504	356
Pgrmc1	ENSMUSG00000006373	X	+	36603786	36607276	36604986	36606076	1090	shortening	0.5195725534308211	6.616490693261047e-08	ENSMUST00000073339	1021	41.62	34.35	337.94	12.36	0.6649717514124294	0.9497435897435897	True	370	504	356
Zfp263	ENSMUSG00000022529	16	+	3748667	3751180	3749867	3749980	113	shortening	0.5161396574440054	0.0023162201547539	ENSMUST00000023176	736	4.36	6.75	41.28	29.23	0.5937291527685123	0.7931747673216132	True	370	504	356
Cdipt	ENSMUSG00000030682	7	+	126978546	126981698	126979746	126980498	752	shortening	0.5147392290249433	0.0217702395114147	ENSMUST00000206794	380	0.26	2714.67	9.86	40.71	0.0866408518877057	0.9518886679920477	True	370	504	356
Nfe2l1	ENSMUSG00000038615	11	-	96816217	96820259	96819059	96817417	1642	shortening	0.5079365079365079	0.0079612255353887	ENSMUST00000169828	289	12.79	5966.5	14.88	59.66	0.13332303414181987	0.5403508771929825	True	370	504	356
Arhgef2	ENSMUSG00000028059	3	+	88645734	88649251	88646934	88648051	1117	shortening	0.4984301412872841	0.029191356659321	ENSMUST00000176500	2045	483.97	3012.14	229.88	105.42	0.49570923775870773	0.9655334666509823	True	370	504	356
Hmgcr	ENSMUSG00000021670	13	-	96648135	96651692	96650492	96649335	1157	shortening	0.4826472962066183	0.0138736099289347	ENSMUST00000022176	1322	3.11	2.47	131.86	50.6	0.6202667942812705	0.9485879797248371	True	370	504	356
Gle1	ENSMUSG00000019715	2	+	29957377	29960617	29958577	29959417	840	shortening	0.4795805739514349	0.0045280226504846	ENSMUST00000019859	911	1.99	915.36	112.57	64.06	0.6861677744671097	0.9810080350620891	True	370	504	356
Tmem50b	ENSMUSG00000022964	16	-	91573309	91577114	91575914	91574509	1405	shortening	0.4756900212314224	0.0232692228444989	ENSMUST00000023686	903	4.34	827.66	100.58	132.42	0.2737880986937591	0.7444574095682613	True	370	504	356
Dnajc5	ENSMUSG00000000826	2	+	181548387	181554079	181549587	181552879	3292	shortening	0.4734693877551021	0.0186583199397723	ENSMUST00000072334	415	1370.0	69.94	34.24	29.36	0.39593639575971734	1.0	True	370	504	356
Gm2a	ENSMUSG00000000594	11	+	55108568	55112097	55109768	55110897	1129	shortening	0.4645324936587073	0.0176007739792561	ENSMUST00000000608	2524	3.36	2444.63	56.22	635.6	0.03811776162487392	0.7149443382435624	True	370	504	356
Ctdp1	ENSMUSG00000033323	18	-	80406764	80409705	80408505	80407964	541	shortening	0.4640985324947589	0.0033314104632605	ENSMUST00000036229	3078	0.78	1670.73	110.32	718.4	0.1704830487903552	0.47062423500611994	True	370	504	356
Fbf1	ENSMUSG00000020776	11	-	116141085	116144441	116143241	116142285	956	shortening	0.4617647058823529	0.010686505547325	ENSMUST00000103031	307	2434.5	5253.0	24.34	52.52	0.20887961859356377	0.6856702619414484	True	370	504	356
Stard3nl	ENSMUSG00000003062	13	-	19356650	19359095	19357895	19357850	45	shortening	0.4599807135969141	0.0209383807964088	ENSMUST00000197565	194	7.14	13.1	60.66	51.66	0.5411538461538462	0.6243907101213801	False	370	504	356
Slc25a24	ENSMUSG00000040322	3	+	109165634	109169652	109166834	109168452	1618	shortening	0.4598108747044918	5.55747605011249e-06	ENSMUST00000029477	229	35.65	29.57	45.26	12.86	0.36524500907441015	0.7827050997782705	True	370	504	356
Ppp1r15b	ENSMUSG00000046062	1	+	133135695	133140982	133136895	133139782	2887	shortening	0.4559617781470711	1.7330723680698075e-05	ENSMUST00000052529	511	5.44	2046.0	139.1	20.45	0.7607833415964304	0.9859808371154816	True	370	504	356
Zfp422	ENSMUSG00000059878	6	-	116623722	116627345	116626145	116624922	1223	shortening	0.4497354497354497	0.0021689074174474	ENSMUST00000079749	151	58.71	1614.5	19.95	16.14	0.44046661303298473	0.9685264663805436	True	370	504	356
Osbp	ENSMUSG00000024687	19	+	11990990	11995304	11992190	11994104	1914	shortening	0.4466612707405909	2.7002327805273763e-09	ENSMUST00000025590	2021	41.13	466.5	528.54	9.32	0.8191387559808613	0.9875313365879403	True	370	504	356
Gm15114	ENSMUSG00000079395	X	+	148519776	148522644	148520976	148521444	468	shortening	0.4461538461538461	2.617604929178616e-05	ENSMUST00000112788	414	12.26	806.33	134.76	24.18	0.8493723849372385	0.9984949348769898	False	370	504	356
Ywhab	ENSMUSG00000018326	2	+	164015612	164019787	164016812	164018587	1775	shortening	0.4443173150266971	3.7595784416845486e-05	ENSMUST00000018470	857	41.61	1142.0	128.36	11.41	0.9098518995492595	1.0	False	370	504	356
Srsf1	ENSMUSG00000018379	11	+	88048467	88054954	88049667	88053754	4087	shortening	0.4389140271493212	0.024312496733971	ENSMUST00000139129	1179	16.66	232.0	166.26	2.31	0.9353961237674261	1.0	False	370	504	356
Ankrd49	ENSMUSG00000031931	9	-	14778581	14782270	14781070	14779781	1289	shortening	0.4378830485254885	0.0039016359396126	ENSMUST00000216372	1017	9.84	67.73	93.24	83.98	0.09408033826638477	0.9318944144669681	True	370	504	356
Depdc5	ENSMUSG00000037426	5	+	32990189	32995429	32991389	32994229	2840	shortening	0.4252450980392157	0.0213780717792196	ENSMUST00000087897	153	0.45	692.33	11.16	10.38	0.6491294473883422	0.8303655107778819	True	370	504	356
Tfcp2	ENSMUSG00000009733	15	-	100501595	100505218	100504018	100502795	1223	shortening	0.4228571428571428	0.0315933699753515	ENSMUST00000229696	83	1135.0	668.5	11.34	6.68	0.14512195121951219	0.7358490566037735	True	370	504	356
Isg20l2	ENSMUSG00000048039	3	+	87938279	87941885	87939479	87940685	1206	shortening	0.4148936170212766	0.0365097196519417	ENSMUST00000055984	1066	66.29	9.05	282.06	9.54	0.7377201112140871	0.997624703087886	True	370	504	356
Adap1	ENSMUSG00000056413	5	-	139270682	139274062	139272862	139271882	980	shortening	0.4074866310160427	0.0092273713044694	ENSMUST00000110865	212	942.0	380.5	9.41	49.46	0.1021566401816118	0.4781659388646288	True	370	504	356
Mturn	ENSMUSG00000038065	6	+	54698062	54701211	54699262	54700011	749	shortening	0.4023020005480953	0.0142016015308324	ENSMUST00000190641	392	17.04	7.24	63.72	31.78	0.5695823187862896	0.8725751236211488	True	370	504	356
Ykt6	ENSMUSG00000002741	11	+	5965093	5968979	5966293	5967779	1486	shortening	0.4018761726078799	0.0055713402693697	ENSMUST00000002818	849	169.17	9755.67	89.65	146.32	0.289037874618502	0.8509234828496042	True	370	504	356
Gm15093	ENSMUSG00000094941	X	+	149303333	149306201	149304533	149305001	468	shortening	0.3995640509725017	3.872837700050312e-05	ENSMUST00000179021	2	25.0	1.0	0.24	0.0		1.0	False	370	504	356
Gm15085	ENSMUSG00000095621	X	+	149486114	149488982	149487314	149487782	468	shortening	0.3995640509725017	3.872837700050312e-05	ENSMUST00000178169	293	119.49	147.0	88.42	1.46	1.0	1.0	False	370	504	356
Ott	ENSMUSG00000094885	X	+	149136482	149139350	149137682	149138150	468	shortening	0.3995640509725017	3.872837700050312e-05	ENSMUST00000179348	1	1.0	0.06	0.0	0.0			False	370	504	356
Ints7	ENSMUSG00000037461	1	+	191620398	191623873	191621598	191622673	1075	shortening	0.3988888888888889	0.0009020638289494	ENSMUST00000045450	208	99.99	496.8	36.48	12.41	0.573138990109318	1.0	True	370	504	356
Pcmtd2	ENSMUSG00000027589	2	+	181854248	181856798	181855448	181855598	150	shortening	0.3936523762047191	0.0427222761381335	ENSMUST00000029116	226	1.29	2.15	29.77	24.8	0.49470545903156166	0.6370370370370371	False	370	504	356
Gm15080	ENSMUSG00000072931	X	+	148031503	148034372	148032703	148033172	469	shortening	0.3905564332104617	6.26867032280466e-05	ENSMUST00000112804	30	589.0	855.5	5.88	8.54	0.7155963302752294	0.8473520249221184	False	370	504	356
Plekha8	ENSMUSG00000005225	6	+	54639832	54647022	54641032	54645822	4790	shortening	0.3897804054054054	0.0443070075690443	ENSMUST00000119706	119	5.87	1176.0	4.84	11.75	0.05439005439005439	0.0	False	370	504	356
Poc1a	ENSMUSG00000023345	9	+	106348676	106351721	106349876	106350521	645	shortening	0.3831578947368421	0.019485813113173	ENSMUST00000072206	916	110.66	2111.75	260.6	42.22	0.7287880686802858	0.9874955970412117	True	370	504	356
Ghitm	ENSMUSG00000041028	14	-	37119616	37123150	37121950	37120816	1134	shortening	0.3823589858565476	0.0447058183462406	ENSMUST00000165649	8193	236.54	4.04	2462.35	80.72	0.894610448407543	0.9863271270616608	False	370	504	356
Gpat3	ENSMUSG00000029314	5	+	100896662	100900295	100897862	100899095	1233	shortening	0.3820326678765881	0.0115336243122508	ENSMUST00000112887	679	0.51	899.5	88.26	8.98	0.7323076923076923	0.9928057553956835	True	370	504	356
Gas2	ENSMUSG00000030498	7	+	51992320	51995713	51993520	51994513	993	shortening	0.3793103448275862	0.0005257626511164	ENSMUST00000129604	231	29.12	19.03	63.33	6.08	0.8180045498862528	1.0	True	370	504	356
Gm5799	ENSMUSG00000091477	14	+	43549570	43552383	43550770	43551183	413	shortening	0.370949074074074	0.0377340564072032	ENSMUST00000169023	86	0.0	5.7	0.0	14.24	0.5744903293256665	1.0	True	370	504	356
Pex3	ENSMUSG00000019809	10	-	13522934	13525972	13524772	13524134	638	shortening	0.3709422492401215	0.0170308927821536	ENSMUST00000019945	3077	992.04	1.95	1006.92	8.93	0.9605779314094846	1.0	False	370	504	356
Sh3bp5	ENSMUSG00000021892	14	-	31372674	31376179	31374979	31373874	1105	shortening	0.3657534246575342	0.0376100248002068	ENSMUST00000100730	865	15.03	10.32	263.2	1.28	0.8552746294681779	1.0	False	370	504	356
Igsf11	ENSMUSG00000022790	16	+	39024165	39028358	39025365	39027158	1793	shortening	0.3562443845462714	9.176842743996964e-06	ENSMUST00000023478	1041	153.36	51.25	225.42	26.13	0.5527176134041684	1.0	True	370	504	356
Arl1	ENSMUSG00000060904	10	+	88742003	88745293	88743203	88744093	890	shortening	0.3546147978642258	6.39277491725624e-05	ENSMUST00000116234	3861	6.3	4452.74	294.8	601.11	0.26712628583935216	0.6939424790022907	True	370	504	356
Plcb2	ENSMUSG00000040061	2	-	118706756	118710043	118708843	118707956	887	shortening	0.3460365853658536	0.0480075370548499	ENSMUST00000102524	160	1955.0	0.65	19.54	13.38	0.0	0.39392392136839416	True	370	504	356
Fam207a	ENSMUSG00000032977	10	-	77485463	77489372	77488172	77486663	1509	shortening	0.3371212121212121	0.0077458341474166	ENSMUST00000045454	539	947.46	328.29	123.16	22.97	0.748848810437452	0.9458303635067712	True	370	504	356
Septin7	ENSMUSG00000001833	9	+	25306590	25309765	25307790	25308565	775	shortening	0.3336007130124777	6.630271833977234e-08	ENSMUST00000115272	676	5.4	1050.71	86.69	110.32	0.3898366826543622	0.7293762575452716	True	370	504	356
Pmvk	ENSMUSG00000027952	3	+	89467634	89470208	89468834	89469008	174	shortening	0.3267195767195767	1.3889695819421484e-05	ENSMUST00000198440	393	2.92	2892.33	98.68	43.38	0.7174859987554449	0.9425985618646169	True	370	504	356
Ccdc25	ENSMUSG00000022035	14	+	65864055	65867801	65865255	65866601	1346	shortening	0.3263673890608875	0.0133714616650337	ENSMUST00000022614	253	3.75	793.25	49.56	15.86	0.6169711255156158	0.9632670700086431	True	370	504	356
Ercc4	ENSMUSG00000022545	16	+	13147069	13149700	13148269	13148500	231	shortening	0.3219834710743802	0.024824388006744	ENSMUST00000023206	1116	0.26	0.45	29.04	148.6	0.17447303011717616	0.31099781500364165	False	370	504	356
1700017N19Rik	ENSMUSG00000056912	10	+	100617111	100619600	100618311	100618400	89	shortening	0.314044597096627	0.0009044488276174	ENSMUST00000190708	3033	18.02	4317.8	989.04	431.77	0.7379209370424598	0.7866099488905114	False	370	504	356
Snap29	ENSMUSG00000022765	16	+	17427210	17430490	17428410	17429290	880	shortening	0.3099614845938375	0.0477656466932088	ENSMUST00000023449	1358	257.88	20.59	321.06	56.62	0.7580226623994464	0.9217126931846973	True	370	504	356
Prr11	ENSMUSG00000020493	11	-	87088161	87092900	87091700	87089361	2339	shortening	0.3060326770004189	0.0216067712588275	ENSMUST00000051395	219	0.71	2.52	11.0	5.24	0.4731823599523242	1.0	True	370	504	356
Ncstn	ENSMUSG00000003458	1	-	172064897	172067787	172066587	172066097	490	shortening	0.3014705882352941	0.0051097652126134	ENSMUST00000003550	258	0.62	35.6	12.59	56.59	0.17307369481282525	0.5558731066018863	True	370	504	356
Chmp5	ENSMUSG00000028419	4	+	40963571	40966500	40964771	40965300	529	shortening	0.2974373740282176	0.0263822494839918	ENSMUST00000030128	924	2.17	23.88	264.91	12.05	0.9119981142453053	0.9958046061317295	False	370	504	356
Synrg	ENSMUSG00000034940	11	+	84039814	84045773	84041014	84044573	3559	shortening	0.2926829268292683	0.0374561678546215	ENSMUST00000092834	324	37.06	646.5	80.23	6.46	0.8615384615384616	1.0	False	370	504	356
Gm11992	ENSMUSG00000040978	11	+	9067551	9070555	9068751	9069355	604	shortening	0.2907495256166983	9.967519056594774e-10	ENSMUST00000043285	1846	1.32	417.9	48.29	438.78	0.1272282608695652	0.08657243816254417	False	370	504	356
Tmem170	ENSMUSG00000031953	8	-	111863791	111866994	111865794	111864991	803	shortening	0.2904761904761904	0.0080945688160122	ENSMUST00000034431	334	35.41	1.06	36.28	22.72	0.24470798265748533	0.265	False	370	504	356
Fsd1l	ENSMUSG00000054752	4	+	53700330	53708207	53701530	53707007	5477	shortening	0.2855113636363636	0.0453300848409089	ENSMUST00000132151	110	1.77	2.82	7.48	3.34	0.45692307692307693		False	370	504	356
Plin3	ENSMUSG00000024197	17	-	56277765	56280853	56279653	56278965	688	shortening	0.2799999999999999	0.0267101856453143	ENSMUST00000019726	405	2.49	350.5	87.86	14.01	0.8233766233766234	0.9903323262839879	True	370	504	356
Kat7	ENSMUSG00000038909	11	-	95273059	95276869	95275669	95274259	1410	shortening	0.276382291468744	1.9678782377820985e-06	ENSMUST00000092766	2076	1.56	2571.38	16.22	501.41	0.010649019080892233	0.17641764176417643	True	370	504	356
BC031181	ENSMUSG00000036299	18	+	75008195	75011133	75009395	75009933	538	shortening	0.2692307692307693	0.0105960869510926	ENSMUST00000040284	1869	0.98	2829.84	67.6	353.72	0.24881516587677724	0.7291744958035826	True	370	504	356
Scyl2	ENSMUSG00000069539	10	-	89637866	89641306	89640106	89639066	1040	shortening	0.2600671140939597	0.0186589092629023	ENSMUST00000174252	301	16.92	9.09	40.69	20.62	0.5847986386840612	0.39732142857142855	False	370	504	356
Cep104	ENSMUSG00000039523	4	+	154006020	154009814	154007220	154008614	1394	shortening	0.2536782154722354	0.0431797401875206	ENSMUST00000047497	1121	91.08	6.56	117.94	59.62	0.45022605836415946	0.9016129032258065	True	370	504	356
Fbxo3	ENSMUSG00000027180	2	+	104058964	104062599	104060164	104061399	1235	shortening	0.25278761642398	0.0068864832338557	ENSMUST00000028603	430	21.42	14.69	52.78	41.12	0.3855529464385553	0.21417797888386123	False	370	504	356
Piga	ENSMUSG00000031381	X	+	164430854	164434883	164432054	164433683	1629	shortening	0.2505085730892182	0.0379042618786201	ENSMUST00000112257	409	244.04	1.14	91.5	6.58	0.46967213114754097	1.0	True	370	504	356
1700049E17Rik2	ENSMUSG00000090440	14	+	41579060	41582166	41580260	41580966	706	shortening	0.2502708559046587	0.0126659928635799	ENSMUST00000163912	0	1.0	1.0	0.0	0.0			False	370	504	356
