gene	pos	strand	inside	outside	step	depth	dprop
ENSMUSG00000037012	62292056	-	28.08	4.8	5.839916839916841	28.08	0.0462776659959758
ENSMUSG00000026864	34775753	+	783.245	752.965	1.040213818519871	783.245	0.1805717998700454
ENSMUSG00000041673	32991663	+	59.28	0.83	70.58333333333333	59.28	0.0759618658495063
ENSMUSG00000090202	146645188	-	46.24	0.77	59.294871794871796	46.24	0.1673945443832102
ENSMUSG00000031532	34168531	+	311.64	408.375	0.7631279307516191	311.64	0.474018535874206
ENSMUSG00000078578	135466674	+	39.985	1.71	23.252906976744185	39.985	0.0558168561730368
ENSMUSG00000068732	108558605	-	28.835	2.63	10.926136363636365	28.835	0.6482479784366577
ENSMUSG00000038481	40482099	+	83.095	0.13	593.6071428571428	83.095	0.3054765291607397
ENSMUSG00000022864	78540337	-	4.71	0.0	471.99999999999994	4.71	0.0214067278287461
ENSMUSG00000031847	116970107	-	62.575	54.335	1.151623884441991	62.575	0.0972222222222222
ENSMUSG00000028813	127927593	-	727.075	0.435	1633.8988764044943	727.075	0.2465587044534413
ENSMUSG00000029206	66296958	+	78.67	16.94	4.64188790560472	78.67	0.1198830409356725
ENSMUSG00000027867	99942068	+	0.98	7.765	0.12733118971061094	0.98	0.0384615384615384
ENSMUSG00000047248	100470150	+	16.36	0.015	654.8	16.36	0.0852366538249862
ENSMUSG00000026646	3458582	-	251.785	59.14	4.256889264581572	251.785	0.2870842073718909
ENSMUSG00000038497	13297098	+	0.46	8.975	0.05230940456316083	0.46	0.4461538461538461
ENSMUSG00000022992	98518820	-	7.2	0.33	21.205882352941174	7.2	0.180379746835443
ENSMUSG00000035934	36892523	-	2.365	0.49	4.75	2.365	0.1974153297682709
ENSMUSG00000047141	64816434	-	21.13	3.145	6.700475435816165	21.13	0.1673151750972762
ENSMUSG00000022246	10633025	-	136.24	7.74	17.580645161290324	136.24	0.0950385071090047
ENSMUSG00000044145	127207952	-	3.73	0.76	4.857142857142857	3.73	0.1094349494244855
ENSMUSG00000026107	51471161	-	577.67	132.805	4.349508715130068	577.67	0.1522251518056887
ENSMUSG00000052544	153200662	-	8.16	0.55	14.589285714285714	8.16	0.0831787260358688
ENSMUSG00000041084	130695918	-	180.595	0.02	6020.166666666667	180.595	0.1946810100104586
ENSMUSG00000052031	6955560	-	20.825	26.535	0.7848935769448107	20.825	0.0653957879448075
ENSMUSG00000037935	99213158	-	293.51	128.075	2.2916032322285984	293.51	0.2312222524236659
ENSMUSG00000033486	121398722	-	21.315	3.405	6.244509516837483	21.315	0.0635935974437113
ENSMUSG00000024082	78947224	+	243.905	10.795	22.57427117075428	243.905	0.0757911757911758
ENSMUSG00000026018	60026314	-	17.705	1.645	10.70392749244713	17.705	0.1217391304347826
ENSMUSG00000027091	83664616	+	251.87	0.1	2289.818181818182	251.87	0.2300500467469614
ENSMUSG00000021066	69963385	+	135.505	281.825	0.4808309826671634	135.505	0.1026187656270561
ENSMUSG00000021203	103401055	+	37.0	18.295	2.0218519530183006	37.0	0.0648113682643252
ENSMUSG00000021891	31464913	-	53.075	9.81	5.405804480651731	53.075	0.1062083196267831
ENSMUSG00000018697	84452077	-	13.525	2.505	5.381709741550696	13.525	0.1163219376272639
ENSMUSG00000015165	28822248	+	121.445	0.385	307.4810126582278	121.445	0.2932636469221834
ENSMUSG00000027742	53016632	-	11.405	1.72	6.598265895953757	11.405	0.0625102408651482
ENSMUSG00000019961	91160474	-	23.03	0.625	36.28346456692914	23.03	0.0743610294772464
ENSMUSG00000045031	37310352	-	2272.345	956.915	2.3746427358465922	2272.345	0.504906204906205
ENSMUSG00000025613	87495826	-	14.295	57.48	0.24882588276221954	14.295	0.0483399358611582
ENSMUSG00000033416	75506821	-	80.865	0.03	2021.875	80.865	0.4518185900314323
ENSMUSG00000025873	54622314	+	1.725	5.795	0.2988802756244617	1.725	0.1614348087925323
ENSMUSG00000018326	164018587	+	11.41	0.0	1142.0	11.41	0.4443173150266971
ENSMUSG00000023084	87745251	-	127.26	19.785	6.429401363980803	127.26	0.2277499290645985
ENSMUSG00000078578	135441950	+	1.025	4.84	0.2134020618556701	1.025	0.0782075285020625
ENSMUSG00000040859	129491954	+	11583.97	15.71	736.8944020356233	11583.97	0.0383480825958701
ENSMUSG00000002324	55625388	+	131.655	0.96	135.73711340206185	131.655	0.5388026607538803
ENSMUSG00000021963	57802257	+	5.305	0.61	8.57258064516129	5.305	0.4716948107152978
ENSMUSG00000032475	100497445	-	27.045	49.135	0.5505137857360872	27.045	0.1520686963309914
ENSMUSG00000028439	41517694	-	90.915	0.175	491.48648648648657	90.915	0.3861350574712643
ENSMUSG00000061298	110441564	+	1.105	12.97	0.08590138674884437	1.105	0.0852838310465429
ENSMUSG00000033705	120715832	+	8.345	7.08	1.1784203102961919	8.345	0.0459016393442622
ENSMUSG00000032443	117966248	-	37.81	0.0	3782.0	37.81	0.1212121212121212
ENSMUSG00000023755	98891153	-	15.93	3.895	4.081946222791293	15.93	0.7574835109081683
ENSMUSG00000006941	120491800	+	4.54	0.0	455.0	4.54	0.0181818181818181
ENSMUSG00000018697	84458168	-	3.23	1.13	2.8421052631578947	3.23	0.0604651162790697
ENSMUSG00000047515	136840553	+	810.465	31.81	25.47061596480201	810.465	0.3271559900773383
ENSMUSG00000038500	35977755	-	110.63	24.39	4.534426229508196	110.63	0.3581328887830436
ENSMUSG00000054455	173779347	+	213.98	0.9	235.15384615384613	213.98	0.2094572094572094
ENSMUSG00000062014	46820986	-	95.545	5.3	17.995291902071564	95.545	0.3025301373703392
ENSMUSG00000001948	37613567	-	3723.045	1087.67	3.422932296263607	3723.045	0.1331148564294632
ENSMUSG00000118454	35243448	-	23.66	2.775	8.499102333931779	23.66	0.0960960960960961
ENSMUSG00000032489	110479393	+	0.75	10.52	0.07217473884140552	0.75	0.2658572254531851
ENSMUSG00000041777	73284180	-	410.48	20.91	19.62189292543021	410.48	0.0639006199489453
ENSMUSG00000046010	82765505	+	388.68	225.02	1.7272808070035106	388.68	0.1457079970652971
ENSMUSG00000101337	46807463	+	145.535	0.195	709.9756097560975	145.535	0.0709979609326516
ENSMUSG00000020844	76381926	-	15.29	2.735	5.573770491803279	15.29	0.1068376068376068
ENSMUSG00000024576	61588303	+	30.315	0.05	505.4166666666667	30.315	0.0301474271809919
ENSMUSG00000053896	68607321	+	1.615	10.8	0.15032377428307123	1.615	0.1310292961405668
ENSMUSG00000022477	81915040	+	1014.175	83.07	12.207330284063552	1014.175	0.2939528023598819
ENSMUSG00000023949	45541375	+	63.14	24.205	2.6078876729300022	63.14	0.2364457831325301
ENSMUSG00000029657	149616842	-	57.515	0.73	77.73648648648648	57.515	0.083204334365325
ENSMUSG00000042350	84918147	-	27.905	0.005	1861.0000000000002	27.905	0.1375331564986737
ENSMUSG00000030330	125054192	+	3422.645	2.18	1562.8561643835617	3422.645	0.2265647819245663
ENSMUSG00000027324	119038956	+	22.045	0.57	38.02586206896552	22.045	0.7473684210526317
ENSMUSG00000021116	78884847	+	85.62	768.5	0.11142340372929437	85.62	0.1938784421028119
ENSMUSG00000040591	91310285	-	4.71	0.175	25.513513513513512	4.71	0.025059954107072
ENSMUSG00000032342	78474148	+	189.725	0.215	843.2666666666665	189.725	0.3292682926829268
ENSMUSG00000053226	84816004	-	35.87	83.795	0.42813674601754065	35.87	0.0963044994052746
ENSMUSG00000078532	130572377	-	28.435	1.77	15.980337078651685	28.435	0.5690045248868778
ENSMUSG00000025505	141333326	+	116.535	4.845	24.005149330587027	116.535	0.2558210784313725
ENSMUSG00000009545	143273220	+	2.45	9.57	0.2567849686847599	2.45	0.925925925925926
ENSMUSG00000096732	11420840	+	1.47	0.09	14.8	1.47	0.310312540359034
ENSMUSG00000042590	106794438	-	35.36	0.0	3536.9999999999995	35.36	0.435483870967742
ENSMUSG00000039209	10174565	+	12394.32	985.8	12.572737140016839	12394.32	0.2643102963899424
ENSMUSG00000023966	46129270	-	2401.275	1.235	1928.7429718875503	2401.275	0.2015833333333333
ENSMUSG00000033705	120715135	+	24.99	0.45	54.347826086956516	24.99	0.0927917068466731
ENSMUSG00000020696	82833601	-	6.595	0.81	8.054878048780486	6.595	0.0210772833723653
ENSMUSG00000048379	47298253	+	0.335	1.745	0.19658119658119658	0.335	0.3882086167800453
ENSMUSG00000075000	67286127	-	27.835	1.315	21.015094339622642	27.835	0.1403130834410455
ENSMUSG00000034245	91173190	+	77.485	20.81	3.7221421709894336	77.485	0.4009681323114158
ENSMUSG00000039033	140064260	-	13.47	4.41	3.049773755656109	13.47	0.1449122807017544
ENSMUSG00000020308	79676126	+	452.095	0.23	1883.7708333333333	452.095	0.4291425083918219
ENSMUSG00000022141	8350730	-	54.725	92.55	0.5913461538461539	54.725	0.1444771468144044
ENSMUSG00000028259	25200021	-	3255.305	1283.09	2.5370703764320788	3255.305	0.4800766808161029
ENSMUSG00000036463	65954013	+	4981.115	3.755	1323.0079681274901	4981.115	0.0858895705521471
ENSMUSG00000112449	55188141	+	1763.565	1765.21	0.9990681048254608	1763.565	0.3957403468831441
ENSMUSG00000047554	109973841	-	43.62	135.215	0.3226474394527639	43.62	0.2421383647798742
ENSMUSG00000054302	54701346	-	16.84	0.125	124.81481481481482	16.84	0.0415948622504078
ENSMUSG00000068686	104084773	+	127.82	0.1	1162.090909090909	127.82	0.3247311827956989
ENSMUSG00000013662	32678325	-	2.32	0.315	7.169230769230768	2.32	0.0256410256410256
ENSMUSG00000013076	14592009	-	21.25	2.42	8.74897119341564	21.25	0.1085043988269794
ENSMUSG00000070953	34779404	-	2415.045	3075.175	0.7853364919508907	2415.045	0.0547409579667644
ENSMUSG00000022820	37654276	-	21.99	441.64	0.04981320049813201	21.99	0.2869840015800908
ENSMUSG00000033209	110905841	+	3.24	4.965	0.6532663316582915	3.24	0.1360514179177706
ENSMUSG00000032480	110113990	-	2.89	0.02	96.66666666666667	2.89	0.0914288861958797
ENSMUSG00000074764	140389574	-	3338.135	3.69	902.2013513513515	3338.135	0.0528355054596688
ENSMUSG00000027306	119630364	+	14.215	94.315	0.1508083752981712	14.215	0.0650674235119977
ENSMUSG00000039831	122016575	+	37.345	4.005	9.303860523038605	37.345	0.1486880466472303
ENSMUSG00000033004	103346216	-	177.505	1.27	138.68359375	177.505	0.4981787181275672
ENSMUSG00000029682	24796771	+	290.23	82.64	3.51167574107683	290.23	0.3624295326422985
ENSMUSG00000038495	96156017	+	42.625	33.71	1.2643831553973903	42.625	0.1988479007422177
ENSMUSG00000029221	67355780	+	147.165	0.525	275.09345794392516	147.165	0.2495344506517691
ENSMUSG00000037395	192100589	-	375.68	97.4	3.8567908838928235	375.68	0.2147875654537018
ENSMUSG00000028145	94332536	+	128.515	0.1	1168.4090909090908	128.515	0.2267342032967033
ENSMUSG00000009470	98872229	-	7.915	1.39	5.660714285714286	7.915	0.0692040900677484
ENSMUSG00000035021	54893550	-	35.85	0.61	57.83870967741935	35.85	0.533061224489796
ENSMUSG00000014905	44205895	-	523.9	205.85	2.544982026620033	523.9	0.2569898121499545
ENSMUSG00000073633	84900516	+	2495.77	0.005	166385.33333333334	2495.77	0.1617856723527734
ENSMUSG00000024953	6906705	-	2160.45	0.91	2348.3260869565215	2160.45	0.374341426321221
ENSMUSG00000032489	110524057	+	1207.875	626.42	1.928204268633367	1207.875	0.2284456587735276
ENSMUSG00000036214	36965622	+	2935.98	10.535	278.4248458985301	2935.98	0.1610092207923801
ENSMUSG00000036275	52407227	+	140.89	8.575	16.412347117064648	140.89	0.0991029094227901
ENSMUSG00000034327	67742159	+	339.07	5.515	61.37194570135747	339.07	0.1932659932659932
ENSMUSG00000022951	92393171	-	7.57	1.39	5.414285714285715	7.57	0.3012001548586914
ENSMUSG00000023806	6910124	-	140.46	0.09	1404.7	140.46	0.0853829097731536
ENSMUSG00000054814	74001877	-	88.48	10.97	8.0591985428051	88.48	0.444574780058651
ENSMUSG00000028023	129210086	+	48.06	52.625	0.9132706374085685	48.06	0.2653061224489796
ENSMUSG00000030301	147606977	+	780.885	226.24	3.4514696132596683	780.885	0.2503296935169066
ENSMUSG00000048100	108582061	+	74.965	0.08	833.0555555555557	74.965	0.2593121164549736
ENSMUSG00000073910	34953313	-	69.665	0.48	142.19387755102042	69.665	0.2548129942968775
ENSMUSG00000034467	116515920	+	3034.005	0.57	5231.060344827587	3034.005	0.4002166847237269
ENSMUSG00000030206	135252762	-	9.96	5.275	1.8864711447492906	9.96	0.0443196004993757
ENSMUSG00000026239	86575326	-	8.405	3.42	2.4533527696793	8.405	0.0401678505523395
ENSMUSG00000069855	61342389	-	25.435	27.495	0.9251045264497363	25.435	0.1964665815240527
ENSMUSG00000025420	76977147	-	1417.455	0.1	12886.045454545454	1417.455	0.0661047561709813
ENSMUSG00000017466	118332946	-	58.9	435.305	0.13532729173127506	58.9	0.4505708343375376
ENSMUSG00000091049	25998046	-	11.86	0.0	1187.0	11.86	0.190920245398773
ENSMUSG00000021890	31506740	+	125.495	37.12	3.380150821438191	125.495	0.3777777777777777
ENSMUSG00000054770	58006485	-	37.635	3.615	10.384827586206896	37.635	0.3073684210526315
ENSMUSG00000038481	40365580	+	2.56	9.37	0.27398720682302774	2.56	0.0430419781483611
ENSMUSG00000053070	8022377	-	97.695	88.32	1.1061360806068155	97.695	0.2773892773892774
ENSMUSG00000029089	48388548	+	64.415	34.2	1.88322128032739	64.415	0.1821561338289963
ENSMUSG00000028664	136745982	-	14.145	0.01	707.75	14.145	0.2982456140350877
ENSMUSG00000030518	64871969	-	289.37	547.695	0.5283501154818743	289.37	0.1906216313330938
ENSMUSG00000040225	162672993	-	6.97	0.04	139.6	6.97	0.196662917135358
ENSMUSG00000025027	52991180	-	558.11	0.93	593.7446808510638	558.11	0.175200694293773
ENSMUSG00000074781	95541392	+	122.485	508.065	0.24109629483836048	122.485	0.3649901908328874
ENSMUSG00000005566	13010776	+	1.645	6.49	0.25461538461538463	1.645	0.0255681818181818
ENSMUSG00000003527	17901764	-	284.63	0.02	9488.0	284.63	0.2092581362441884
ENSMUSG00000058446	54889731	+	40.805	0.04	816.3	40.805	0.2326673326673326
ENSMUSG00000027881	108904172	-	209.165	286.73	0.729493617911697	209.165	0.1040869763205828
ENSMUSG00000028933	25692132	-	52.445	8.37	6.259546539379476	52.445	0.2952593610443146
ENSMUSG00000058655	102096584	+	10.775	4.61	2.3344155844155843	10.775	0.2283397353819889
ENSMUSG00000020102	125266044	-	9.83	2.045	4.788321167883212	9.83	0.032
ENSMUSG00000027985	131170612	+	2.97	14.945	0.1992644600468071	2.97	0.0797342192691029
ENSMUSG00000070605	146466136	+	676.51	1.855	362.74530831099196	676.51	0.1068070145713316
ENSMUSG00000030986	133721108	-	242.865	58.275	4.16702410568757	242.865	0.2133246060284686
ENSMUSG00000024242	80589197	-	12.745	0.665	18.896296296296292	12.745	0.125
ENSMUSG00000038473	170308641	-	14.69	0.0	1470.0	14.69	0.5555555555555556
ENSMUSG00000046173	9668858	-	306.435	38.09	8.043175853018372	306.435	0.2386849607982893
ENSMUSG00000022773	17084657	+	2986.97	3269.59	0.9135612919011499	2986.97	0.0705981822024942
ENSMUSG00000024510	52332665	+	593.325	685.705	0.8652793070007219	593.325	0.2588654588654588
ENSMUSG00000006932	120943714	+	13.475	0.225	57.38297872340425	13.475	0.1793206793206793
ENSMUSG00000021040	87449385	+	1990.3	286.43	6.948435972629521	1990.3	0.270254287403903
ENSMUSG00000027606	19576167	+	1.56	14.45	0.10857538035961274	1.56	0.0582384526721205
ENSMUSG00000046541	25230262	+	18.85	0.0	1886.0000000000002	18.85	0.3680555555555556
ENSMUSG00000020639	4769909	+	25.18	80.775	0.31181531224856096	25.18	0.4109050718408449
ENSMUSG00000061298	111384562	+	0.76	6.735	0.11415863602668644	0.76	0.0706214689265536
ENSMUSG00000040669	122317741	-	77.82	0.36	210.35135135135135	77.82	0.3558614935335836
ENSMUSG00000042320	85094022	-	197.225	5.545	35.505850585058504	197.225	0.4787234042553192
ENSMUSG00000026853	30411973	-	11.45	14.45	0.7925311203319502	11.45	0.2140921409214092
ENSMUSG00000005417	59736062	+	36.095	0.81	44.03048780487804	36.095	0.1535521864428016
ENSMUSG00000031027	109294762	-	15.16	1.535	9.818770226537218	15.16	0.0520547945205479
ENSMUSG00000034928	54679983	-	15.045	5.24	2.8676190476190477	15.045	0.2939203354297694
ENSMUSG00000041165	69821203	-	417.89	1880.875	0.2221826427453034	417.89	0.3558719745539486
ENSMUSG00000036779	88259720	+	6.33	0.0	634.0	6.33	0.198835403726708
ENSMUSG00000023952	46162640	+	16.705	0.695	23.70921985815603	16.705	0.0555366847826086
ENSMUSG00000091692	40994864	+	135.7	268.395	0.5056165123600529	135.7	0.2761882787263497
ENSMUSG00000020961	91639286	-	73.975	1.795	40.98891966759003	73.975	0.2373843566021867
ENSMUSG00000025551	124641927	-	27.225	3.08	8.81391585760518	27.225	0.0647482014388489
ENSMUSG00000029074	156043046	-	240.865	4.88	49.25869120654397	240.865	0.2182343234323432
ENSMUSG00000041935	3982034	-	5.92	0.0	593.0	5.92	0.2886446886446886
ENSMUSG00000045064	85297344	+	23.445	2.105	11.089834515366432	23.445	0.0462556343029407
ENSMUSG00000041328	92668473	-	90.82	166.02	0.5470698066614467	90.82	0.3626784922394678
ENSMUSG00000024122	24147421	-	14.465	1.905	7.558746736292428	14.465	0.0495049504950495
ENSMUSG00000033276	74636042	+	246.21	0.05	4103.666666666666	246.21	0.4750754147812971
ENSMUSG00000063524	150248871	+	87.1	0.11	725.9166666666667	87.1	0.1146317252332738
ENSMUSG00000021643	100114232	+	14086.44	4.9	2868.9307535641547	14086.44	0.4302380952380952
ENSMUSG00000029076	156010207	+	854.745	1.77	480.19943820224717	854.745	0.1213572854291417
ENSMUSG00000022089	70137963	+	602.87	1.025	582.4927536231885	602.87	0.2879847425301971
ENSMUSG00000058298	53536327	-	17.52	1.29	13.484615384615385	17.52	0.3484848484848484
ENSMUSG00000034994	81180899	+	8.305	15.115	0.5497520661157025	8.305	0.0986296155310239
ENSMUSG00000027286	120604231	-	5.16	0.12	39.76923076923077	5.16	0.0393700787401574
ENSMUSG00000037058	35610969	+	338.775	268.62	1.2611584707590364	338.775	0.1088030083363537
ENSMUSG00000025977	55360320	-	2.59	1.14	2.260869565217391	2.59	0.0277951953599561
ENSMUSG00000029474	122864084	+	6.58	46.915	0.1404368673415024	6.58	0.1064235743057027
ENSMUSG00000005732	18239978	-	1099.26	782.235	1.405275840689298	1099.26	0.3520040128027516
ENSMUSG00000045767	55693584	+	1.1	27.09	0.04095940959409594	1.1	0.3993115318416523
ENSMUSG00000031770	94392569	+	75.525	0.35	209.81944444444449	75.525	0.1731100891060649
ENSMUSG00000027104	73858497	-	14.27	2.115	6.72	14.27	0.0613321652912307
ENSMUSG00000028982	149744688	-	1379.66	1365.785	1.010158918432122	1379.66	0.1346153846153845
ENSMUSG00000063652	53961388	-	12.415	1.73	7.140804597701149	12.415	0.1016483516483516
ENSMUSG00000043913	116158676	-	17.83	1.115	15.857777777777777	17.83	0.0599455040871934
ENSMUSG00000041777	73312415	-	4972.45	0.385	12588.506329113923	4972.45	0.2287811591986541
ENSMUSG00000064307	101915617	-	502.58	442.09	1.1368242479077133	502.58	0.2557532546073781
ENSMUSG00000056185	5488742	-	73.36	7.46	9.821954484605088	73.36	0.0809824422963109
ENSMUSG00000063163	69863497	-	106.985	0.95	111.45312500000001	106.985	0.1345029239766081
ENSMUSG00000073876	42158842	-	0.0	0.875	0.011299435028248588	0.0	0.4131455399061033
ENSMUSG00000063447	107830783	+	288.465	573.885	0.5026616367105481	288.465	0.3370404634896889
ENSMUSG00000029136	31619037	-	14.79	1.72	8.554913294797688	14.79	0.1102958304216165
ENSMUSG00000028830	126853552	+	51.315	2.675	19.11545623836127	51.315	0.1858270946569582
ENSMUSG00000040866	19068546	+	63.15	0.345	177.91549295774647	63.15	0.2627702542171537
ENSMUSG00000020697	82801902	+	180.275	57.44	3.1381201044386424	180.275	0.174784227449653
ENSMUSG00000044627	32283329	-	16.8	0.29	56.033333333333346	16.8	0.0733695652173913
ENSMUSG00000027739	51495904	+	33.28	3.255	10.196018376722819	33.28	0.4442750677506775
ENSMUSG00000099913	53344643	-	2122.465	4.285	494.1734575087312	2122.465	0.301918141738501
ENSMUSG00000061315	128048340	+	5072.455	3084.315	1.6445948465223346	5072.455	0.0715100411422053
ENSMUSG00000037926	77295378	+	6.48	24.99	0.2596	6.48	0.2427849927849927
ENSMUSG00000041702	102780796	-	32.985	0.0	3299.4999999999995	32.985	0.2549993789591355
ENSMUSG00000052962	71815107	-	20.66	0.0	2067.0	20.66	0.0460322000653808
ENSMUSG00000041298	148874344	-	68.54	2.71	25.20220588235295	68.54	0.2755641521598969
ENSMUSG00000029198	36471511	+	1075.585	1288.4	0.8348235421954191	1075.585	0.1359330529714115
ENSMUSG00000066798	37430906	-	42.505	32.76	1.2973756484589565	42.505	0.6093904123101204
ENSMUSG00000039530	39006386	+	4.985	12.11	0.41212871287128716	4.985	0.0500970722994486
ENSMUSG00000021392	49662090	+	46.015	5.055	9.086870681145115	46.015	0.104800702931544
ENSMUSG00000000384	6615601	-	137.55	0.07	1719.5	137.55	0.2555427694668201
ENSMUSG00000008892	22577092	-	3830.18	1.52	2503.392156862745	3830.18	0.2647135037087422
ENSMUSG00000010796	18102172	-	13.37	0.86	15.379310344827585	13.37	0.2107311320754717
ENSMUSG00000027663	32334791	-	19.585	0.0	1959.5000000000002	19.585	0.1754261363636363
ENSMUSG00000040312	35530805	+	829.945	1573.655	0.527402592038331	829.945	0.3825395453366756
ENSMUSG00000009569	13417522	+	9.805	0.0	981.4999999999999	9.805	0.4583333333333333
ENSMUSG00000034663	97091866	+	10.585	0.53	19.62037037037037	10.585	0.9166666666666666
ENSMUSG00000031553	24721579	-	48.025	0.125	355.8148148148148	48.025	0.0621376811594202
ENSMUSG00000028986	24160787	+	142.795	1.41	100.56690140845069	142.795	0.2883345561261922
ENSMUSG00000029718	137609469	-	26.645	3.32	8.004504504504506	26.645	0.1345565749235474
ENSMUSG00000058655	102097164	+	18.8	0.235	76.77551020408164	18.8	0.4230687153222364
ENSMUSG00000013662	32673269	-	129.855	7.935	16.345500314663308	129.855	0.2875457875457876
ENSMUSG00000008129	84147988	+	2.395	60.41	0.03980470043032108	2.395	0.2790334732536864
ENSMUSG00000022884	23113812	+	274.715	76.28	3.6010617381046	274.715	0.7615203893270683
ENSMUSG00000054003	112068844	+	37.72	0.025	1077.9999999999998	37.72	0.159262229350441
ENSMUSG00000020720	107497790	+	1184.42	6.415	184.34708171206228	1184.42	0.2412807318467696
ENSMUSG00000029165	30903315	+	89.16	64.025	1.3925197157804323	89.16	0.1346637102734663
ENSMUSG00000053153	70049435	+	1.05	9.7	0.10916580844490217	1.05	0.1171760262955451
ENSMUSG00000033306	24979425	+	704.07	85.11	8.271616541353383	704.07	0.4851694915254237
ENSMUSG00000030851	46869753	+	484.37	123.165	3.9324538258575195	484.37	0.3048587913756453
ENSMUSG00000063063	76882217	-	77.605	17.385	4.46191434320207	77.605	0.3074941451990632
ENSMUSG00000000194	31216550	+	54.47	0.0	5448.0	54.47	0.2433545048223947
ENSMUSG00000078490	155455713	+	1.81	6.28	0.2893481717011129	1.81	0.1486629070402037
ENSMUSG00000038671	181358491	-	145.52	1.495	96.69767441860465	145.52	0.5317185019695456
ENSMUSG00000042213	116329539	+	850.18	156.225	5.441738406887061	850.18	0.5246481501685318
ENSMUSG00000025816	5882785	-	125.12	0.95	130.34375000000003	125.12	0.3387706855791962
ENSMUSG00000021786	16249039	-	97.125	4.145	23.377858002406743	97.125	0.166649879129734
ENSMUSG00000021713	104227550	-	19.0	2.365	8.00421052631579	19.0	0.3271221532091097
ENSMUSG00000033760	4762880	+	33.49	11.735	2.852277564921243	33.49	0.0514111845556604
ENSMUSG00000037461	191621598	+	36.485	0.355	99.98630136986301	36.485	0.3433333333333332
ENSMUSG00000014075	32419774	+	201.43	967.34	0.2082390034630692	201.43	0.4235071806500378
ENSMUSG00000043467	161019636	-	29.53	1.96	14.994923857868022	29.53	0.3695652173913043
ENSMUSG00000032553	103189086	-	223.05	0.995	221.95024875621894	223.05	0.0394736842105263
ENSMUSG00000031553	24680484	-	126.025	8.0	15.73470661672909	126.025	0.1318089959004561
ENSMUSG00000050565	156052797	+	44.97	1.44	31.02068965517241	44.97	0.026175932255717
ENSMUSG00000039530	39165232	+	577.15	36.62	15.756483756483757	577.15	0.3296643810898592
ENSMUSG00000026960	53217503	+	2357.265	928.845	2.5378288322719906	2357.265	0.22569871952721
ENSMUSG00000021962	30523517	+	52.645	5.055	10.395853899308985	52.645	0.639957264957265
ENSMUSG00000056018	129183731	+	493.795	7.515	65.62192691029901	493.795	0.2569624459953473
