panel	record	metric	value	detail	source
a,b	curated_null_seed	null_P100_point_curated	0.022081	seed point 7/15 (5 arms x 3 seeds)	results/figures/manuscript/benchmark_curated.tsv (verified SOUND, 07 §2)
a,b	curated_null_seed	null_P100_point_curated	0.022895	seed point 8/15 (5 arms x 3 seeds)	results/figures/manuscript/benchmark_curated.tsv (verified SOUND, 07 §2)
a,b	curated_null_seed	null_P100_point_curated	0.022337	seed point 9/15 (5 arms x 3 seeds)	results/figures/manuscript/benchmark_curated.tsv (verified SOUND, 07 §2)
a,b	curated_null_seed	null_P100_point_curated	0.020286	seed point 10/15 (5 arms x 3 seeds)	results/figures/manuscript/benchmark_curated.tsv (verified SOUND, 07 §2)
a,b	curated_null_seed	null_P100_point_curated	0.022228	seed point 11/15 (5 arms x 3 seeds)	results/figures/manuscript/benchmark_curated.tsv (verified SOUND, 07 §2)
a,b	curated_null_seed	null_P100_point_curated	0.0215	seed point 12/15 (5 arms x 3 seeds)	results/figures/manuscript/benchmark_curated.tsv (verified SOUND, 07 §2)
a,b	curated_null_seed	null_P100_point_curated	0.021519	seed point 13/15 (5 arms x 3 seeds)	results/figures/manuscript/benchmark_curated.tsv (verified SOUND, 07 §2)
a,b	curated_null_seed	null_P100_point_curated	0.022065	seed point 14/15 (5 arms x 3 seeds)	results/figures/manuscript/benchmark_curated.tsv (verified SOUND, 07 §2)
a,b	curated_null_seed	null_P100_point_curated	0.022731	seed point 15/15 (5 arms x 3 seeds)	results/figures/manuscript/benchmark_curated.tsv (verified SOUND, 07 §2)
a	curated_spread	P100_spread_5_arms	0.136737	max-min across the five arms	results/figures/manuscript/benchmark_curated.tsv (verified SOUND, 07 §2)
c	PBMC 10k v3 (human)|PeakATail default	P100_point_curated	0.706195	role path4	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/score_pbmc_final_v2_ipfilt__PRESPEC_precision_default.tsv via fig2_accuracy.tsv (19 FIXED)
c	PBMC 10k v3 (human)|PeakATail default	null_P100_mean_3seeds	0.021688	seeds 0.021666/0.021666/0.021731	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/score_pbmc_final_v2_ipfilt__PRESPEC_precision_default.tsv via fig2_accuracy.tsv (19 FIXED)
c	PBMC 10k v3 (human)|SCAPTURE	P100_point_curated	0.651808	role competitor	results/benchmark_tools/pbmc_10k_v3/scapture/score_scapture.tsv via fig2_accuracy.tsv (19 FIXED)
c	PBMC 10k v3 (human)|SCAPTURE	null_P100_mean_3seeds	0.022409	seeds 0.022176/0.022232/0.022819	results/benchmark_tools/pbmc_10k_v3/scapture/score_scapture.tsv via fig2_accuracy.tsv (19 FIXED)
c	PBMC 10k v3 (human)|polyApipe	P100_point_curated	0.379966	role competitor	results/benchmark_tools/pbmc_10k_v3/polyapipe/score_polyapipe.tsv via fig2_accuracy.tsv (19 FIXED)
c	PBMC 10k v3 (human)|polyApipe	null_P100_mean_3seeds	0.022393	seeds 0.022007/0.021966/0.023206	results/benchmark_tools/pbmc_10k_v3/polyapipe/score_polyapipe.tsv via fig2_accuracy.tsv (19 FIXED)
c	PBMC 10k v3 (human)|Sierra	P100_point_curated	0.255854	role competitor	results/benchmark_tools/pbmc_10k_v3/sierra/score_sierra.tsv via fig2_accuracy.tsv (19 FIXED)
c	PBMC 10k v3 (human)|Sierra	null_P100_mean_3seeds	0.022213	seeds 0.022568/0.021371/0.022699	results/benchmark_tools/pbmc_10k_v3/sierra/score_sierra.tsv via fig2_accuracy.tsv (19 FIXED)
c	PBMC 10k v3 (human)|scAPAtrap	P100_point_curated	0.099919	role competitor	results/benchmark_tools/pbmc_10k_v3/scapatrap/score_scapatrap.tsv via fig2_accuracy.tsv (19 FIXED)
c	PBMC 10k v3 (human)|scAPAtrap	null_P100_mean_3seeds	0.022609	seeds 0.022888/0.022295/0.022643	results/benchmark_tools/pbmc_10k_v3/scapatrap/score_scapatrap.tsv via fig2_accuracy.tsv (19 FIXED)
c	PBMC 10k v3 (human)|scUTRquant*	P100_point_curated	0.792591	role catalog	results/benchmark_tools/pbmc_10k_v3/scutrquant/score_scutrquant.tsv via fig2_accuracy.tsv (19 FIXED)
c	PBMC 10k v3 (human)|scUTRquant*	null_P100_mean_3seeds	0.021957	seeds 0.021545/0.022533/0.021792	results/benchmark_tools/pbmc_10k_v3/scutrquant/score_scutrquant.tsv via fig2_accuracy.tsv (19 FIXED)
c	testis mouse 1|PeakATail default	P100_point_curated	0.745001	role path4	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/score_testis_m1_final_v2__PRESPEC_precision_default.tsv via fig2_accuracy.tsv (19 FIXED)
c	testis mouse 1|PeakATail default	null_P100_mean_3seeds	0.013927	seeds 0.014892/0.012950/0.013940	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/score_testis_m1_final_v2__PRESPEC_precision_default.tsv via fig2_accuracy.tsv (19 FIXED)
c	testis mouse 1|SCAPTURE	P100_point_curated	0.69355	role competitor	results/benchmark_tools/gse104556/scapture/mouse1/score_scapture_mouse1.tsv via fig2_accuracy.tsv (19 FIXED)
c	testis mouse 1|SCAPTURE	null_P100_mean_3seeds	0.01366	seeds 0.014083/0.013322/0.013576	results/benchmark_tools/gse104556/scapture/mouse1/score_scapture_mouse1.tsv via fig2_accuracy.tsv (19 FIXED)
c	testis mouse 1|polyApipe	P100_point_curated	0.400516	role competitor	results/benchmark_tools/gse104556/polyapipe/score_polyapipe_mouse1.tsv via fig2_accuracy.tsv (19 FIXED)
c	testis mouse 1|polyApipe	null_P100_mean_3seeds	0.014216	seeds 0.014242/0.014264/0.014141	results/benchmark_tools/gse104556/polyapipe/score_polyapipe_mouse1.tsv via fig2_accuracy.tsv (19 FIXED)
c	testis mouse 1|Sierra	P100_point_curated	0.508736	role competitor	results/benchmark_tools/gse104556/sierra/score_sierra_mouse1.tsv via fig2_accuracy.tsv (19 FIXED)
c	testis mouse 1|Sierra	null_P100_mean_3seeds	0.014412	seeds 0.015432/0.014102/0.013703	results/benchmark_tools/gse104556/sierra/score_sierra_mouse1.tsv via fig2_accuracy.tsv (19 FIXED)
c	testis mouse 1|scAPAtrap	P100_point_curated	0.250247	role competitor	results/benchmark_tools/gse104556/scapatrap/mouse1/score_scapatrap_mouse1.tsv via fig2_accuracy.tsv (19 FIXED)
c	testis mouse 1|scAPAtrap	null_P100_mean_3seeds	0.014294	seeds 0.014254/0.014129/0.014498	results/benchmark_tools/gse104556/scapatrap/mouse1/score_scapatrap_mouse1.tsv via fig2_accuracy.tsv (19 FIXED)
c	testis mouse 1|scUTRquant*	P100_point_curated	0.782464	role catalog	results/benchmark_tools/gse104556/scutrquant/score_scutrquant_mouse1.tsv via fig2_accuracy.tsv (19 FIXED)
c	testis mouse 1|scUTRquant*	null_P100_mean_3seeds	0.013778	seeds 0.014749/0.013321/0.013265	results/benchmark_tools/gse104556/scutrquant/score_scutrquant_mouse1.tsv via fig2_accuracy.tsv (19 FIXED)
c	testis mouse 2|PeakATail default	P100_point_curated	0.757219	role path4	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/score_testis_m2_final_v2__PRESPEC_precision_default.tsv via fig2_accuracy.tsv (19 FIXED)
c	testis mouse 2|PeakATail default	null_P100_mean_3seeds	0.013785	seeds 0.013722/0.012667/0.014966	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/score_testis_m2_final_v2__PRESPEC_precision_default.tsv via fig2_accuracy.tsv (19 FIXED)
c	testis mouse 2|polyApipe	P100_point_curated	0.411943	role competitor	results/benchmark_tools/gse104556/polyapipe/score_polyapipe_mouse2.tsv via fig2_accuracy.tsv (19 FIXED)
c	testis mouse 2|polyApipe	null_P100_mean_3seeds	0.014476	seeds 0.014503/0.014605/0.014321	results/benchmark_tools/gse104556/polyapipe/score_polyapipe_mouse2.tsv via fig2_accuracy.tsv (19 FIXED)
c	testis mouse 2|Sierra	P100_point_curated	0.581064	role competitor	results/benchmark_tools/gse104556/sierra/score_sierra_mouse2.tsv via fig2_accuracy.tsv (19 FIXED)
c	testis mouse 2|Sierra	null_P100_mean_3seeds	0.014218	seeds 0.015889/0.013265/0.013499	results/benchmark_tools/gse104556/sierra/score_sierra_mouse2.tsv via fig2_accuracy.tsv (19 FIXED)
c	testis mouse 2|scAPAtrap	P100_point_curated	0.238911	role competitor	results/benchmark_tools/gse104556/scapatrap/mouse2/score_scapatrap_mouse2.tsv via fig2_accuracy.tsv (19 FIXED)
c	testis mouse 2|scAPAtrap	null_P100_mean_3seeds	0.014124	seeds 0.014298/0.014047/0.014027	results/benchmark_tools/gse104556/scapatrap/mouse2/score_scapatrap_mouse2.tsv via fig2_accuracy.tsv (19 FIXED)
c	testis mouse 2|scUTRquant*	P100_point_curated	0.783708	role catalog	results/benchmark_tools/gse104556/scutrquant/score_scutrquant_mouse2.tsv via fig2_accuracy.tsv (19 FIXED)
c	testis mouse 2|scUTRquant*	null_P100_mean_3seeds	0.014228	seeds 0.014870/0.013921/0.013893	results/benchmark_tools/gse104556/scutrquant/score_scutrquant_mouse2.tsv via fig2_accuracy.tsv (19 FIXED)
c	PBMC 10k v3 (human)|PeakATail default	fold_over_null	32.561554776835116	real / null_mean (19: 33-55x below)	derived from the two rows above
c	testis mouse 1|PeakATail default	fold_over_null	53.49328642205788	real / null_mean (19: 33-55x below)	derived from the two rows above
c	testis mouse 2|PeakATail default	fold_over_null	54.93064925643815	real / null_mean (19: 33-55x below)	derived from the two rows above
