pas_id	chrom	start	end	strand	assigned_gene_id	n_samestrand_gene_bodies	gene_name	gene_biotype	n_pairs_replicated	max_patient_support	max_abs_effect	disclosure
786	1	2191899	2193132	-	ENSG00000162585	1	FAAP20	protein_coding	1	2	0.21064	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
857	1	2310118	2310214	+	ENSG00000157933	1	SKI	protein_coding	3	4	0.44310	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
1194	1	6100760	6101193	+	ENSG00000069424	1	KCNAB2	protein_coding	2	2	0.28469	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
1431	1	6871881	6872049	+	ENSG00000171735	1	CAMTA1	protein_coding	1	2	0.35856	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
1490	1	7767382	7768236	+	ENSG00000171735	1	CAMTA1	protein_coding	2	2	0.36964	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
1498	1	7781429	7781432	+	ENSG00000049245	1	VAMP3	protein_coding	1	2	0.27821	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
1673	1	8011724	8011901	-	ENSG00000116285	1	ERRFI1	protein_coding	2	2	0.51692	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
1674	1	8012201	8012261	-	ENSG00000116285	1	ERRFI1	protein_coding	1	2	0.25168	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
1675	1	8012478	8012489	-	ENSG00000116285	1	ERRFI1	protein_coding	1	2	0.34759	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
2159	1	9369149	9369535	+	ENSG00000171621	1	SPSB1	protein_coding	1	2	0.57359	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
2299	1	9728540	9728925	+	ENSG00000171608	1	PIK3CD	protein_coding	1	3	0.60186	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
2340	1	9848275	9848769	-	ENSG00000178585	1	CTNNBIP1	protein_coding	1	2	0.37493	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
2378	1	9926053	9927054	-	ENSG00000162441	1	LZIC	protein_coding	1	2	0.36475	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
2717	1	10636658	10637575	-	ENSG00000130940	1	CASZ1	protein_coding	2	2	0.60366	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
3071	1	12209176	12209220	+	ENSG00000028137	1	TNFRSF1B	protein_coding	1	2	0.24642	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
3337	1	13787183	13788081	+	ENSG00000116731	1	PRDM2	protein_coding	1	2	0.23425	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
3630	1	15428842	15428853	+	ENSG00000142634	1	EFHD2	protein_coding	8	4	0.55682	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
3712	1	15571328	15572013	+	ENSG00000116138	1	DNAJC16	protein_coding	2	2	0.40077	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
3920	1	15939811	15940456	+	ENSG00000065526	1	SPEN	protein_coding	1	2	0.39782	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
4114	1	16460017	16460078	+	ENSG00000157191	1	NECAP2	protein_coding	3	3	0.33790	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
4378	1	17406758	17407364	-	ENSG00000179051	1	RCC2	protein_coding	1	3	0.35309	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
4636	1	19338774	19338901	-	ENSG00000077549	1	CAPZB	protein_coding	6	4	0.47505	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
4637	1	19339102	19339427	-	ENSG00000077549	1	CAPZB	protein_coding	7	3	0.22528	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
4761	1	19626465	19626629	+	ENSG00000173436	3	MICOS10	protein_coding	4	4	0.25710	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
4772	1	19656963	19657347	+	ENSG00000158747	1	NBL1	protein_coding	1	2	0.28284	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
4940	1	20742672	20742682	-	ENSG00000127483	1	HP1BP3	protein_coding	4	4	0.52367	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
5197	1	21217246	21217730	-	ENSG00000117298	1	ECE1	protein_coding	2	3	0.51456	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
5525	1	22086744	22086946	+	ENSG00000070831	1	CDC42	protein_coding	1	3	0.23954	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
5530	1	22091567	22091628	+	ENSG00000070831	1	CDC42	protein_coding	4	4	0.28036	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
5536	1	22092649	22092813	+	ENSG00000070831	1	CDC42	protein_coding	9	6	0.39030	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
5537	1	22092945	22092946	+	ENSG00000070831	1	CDC42	protein_coding	10	6	0.48150	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
5607	1	22639317	22639466	+	ENSG00000173372	1	C1QA	protein_coding	3	4	0.47429	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
5608	1	22639607	22639682	+	ENSG00000173372	1	C1QA	protein_coding	4	4	0.58932	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
5909	1	23693426	23694396	+	ENSG00000142676	1	RPL11	protein_coding	8	3	0.37869	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
5913	1	23696417	23696418	+	ENSG00000142676	1	RPL11	protein_coding	1	2	0.09370	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
6067	1	23966444	23966935	-	ENSG00000188529	1	SRSF10	protein_coding	1	2	0.27211	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
6071	1	23969076	23969482	-	ENSG00000188529	1	SRSF10	protein_coding	1	5	0.22568	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
6075	1	23970972	23970979	-	ENSG00000188529	1	SRSF10	protein_coding	1	2	0.21299	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
6089	1	23977939	23978819	-	ENSG00000188529	1	SRSF10	protein_coding	1	2	0.19580	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
6247	1	24540619	24541205	+	ENSG00000117602	1	RCAN3	protein_coding	1	2	0.42722	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
6304	1	24673217	24673271	+	ENSG00000133226	1	SRRM1	protein_coding	5	4	0.45288	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
6495	1	25222589	25222686	-	ENSG00000117614	1	SYF2	protein_coding	1	2	0.24687	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
6520	1	25242158	25242302	-	ENSG00000117616	1	RSRP1	protein_coding	3	3	0.32805	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
6521	1	25242417	25242679	-	ENSG00000117616	1	RSRP1	protein_coding	2	2	0.27589	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
6522	1	25243569	25245272	-	ENSG00000117616	1	RSRP1	protein_coding	3	3	0.31405	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
6616	1	25360817	25361211	+	ENSG00000183726	1	TMEM50A	protein_coding	5	4	0.23063	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
6618	1	25362252	25362361	+	ENSG00000183726	1	TMEM50A	protein_coding	7	5	0.42186	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
6676	1	25498315	25498811	+	ENSG00000204178	1	MACO1	protein_coding	2	2	0.71002	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
6785	1	25900080	25900123	-	ENSG00000117632	1	STMN1	protein_coding	1	2	0.23255	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
6856	1	26278426	26278809	+	ENSG00000130695	1	CEP85	protein_coding	2	2	0.13389	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
6939	1	26470935	26471324	+	ENSG00000117682	1	DHDDS	protein_coding	3	2	0.10946	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
7349	1	27404225	27404230	-	ENSG00000158195	1	WASF2	protein_coding	2	2	0.29999	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
7486	1	27666063	27666298	-	ENSG00000126709	1	IFI6	protein_coding	1	3	0.24903	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
7564	1	27823191	27823770	+	ENSG00000117758	1	STX12	protein_coding	8	6	0.56633	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
7566	1	27824304	27824305	+	ENSG00000117758	1	STX12	protein_coding	4	3	0.50111	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
7567	1	27824442	27824448	+	ENSG00000117758	1	STX12	protein_coding	1	2	0.32674	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
7610	1	27886670	27886679	+	ENSG00000130775	1	THEMIS2	protein_coding	1	2	0.20600	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
7617	1	27891523	27891538	-	ENSG00000117748	1	RPA2	protein_coding	3	3	0.59070	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
7797	1	28238067	28238100	+	ENSG00000130770	1	ATP5IF1	protein_coding	3	3	0.24142	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
7956	1	28497060	28497898	+	ENSG00000204138	1	PHACTR4	protein_coding	1	2	0.59911	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
7958	1	28499938	28500369	+	ENSG00000204138	1	PHACTR4	protein_coding	1	2	0.29186	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
8028	1	28577719	28577855	+	ENSG00000180098	1	TRNAU1AP	protein_coding	3	2	0.44837	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
8267	1	29120040	29120041	+	ENSG00000159023	1	EPB41	protein_coding	1	2	0.44978	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
8353	1	30732468	30732502	-	ENSG00000162511	1	LAPTM5	protein_coding	9	4	0.41489	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
8355	1	30732811	30732838	-	ENSG00000162511	1	LAPTM5	protein_coding	3	2	0.70411	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
8356	1	30733078	30733575	-	ENSG00000162511	1	LAPTM5	protein_coding	15	6	0.57388	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
8383	1	30931504	30931889	-	ENSG00000134644	1	PUM1	protein_coding	2	4	0.69719	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
8766	1	32043232	32043301	+	ENSG00000121774	1	KHDRBS1	protein_coding	1	2	0.20626	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
8860	1	32176536	32176568	+	ENSG00000025800	2	KPNA6	protein_coding	2	2	0.67990	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
9004	1	32365102	32365274	-	ENSG00000160058	1	BSDC1	protein_coding	4	4	0.40541	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
9007	1	32367927	32368523	-	ENSG00000160058	1	BSDC1	protein_coding	1	2	0.35223	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
9066	1	32621764	32621858	-	ENSG00000176261	1	ZBTB8OS	protein_coding	1	3	0.36816	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
9113	1	32680652	32680653	+	ENSG00000162521	1	RBBP4	protein_coding	1	2	0.24841	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
9149	1	32775237	32775242	-	ENSG00000134684	1	YARS1	protein_coding	1	2	0.55144	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
9306	1	33013043	33013086	-	ENSG00000004455	1	AK2	protein_coding	5	4	0.45520	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
9620	1	35177317	35179672	-	ENSG00000116560	1	SFPQ	protein_coding	2	3	0.15834	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
9625	1	35182843	35182936	-	ENSG00000116560	1	SFPQ	protein_coding	1	2	0.09943	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
9628	1	35183599	35183756	-	ENSG00000116560	1	SFPQ	protein_coding	6	5	0.40068	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
9629	1	35184106	35184224	-	ENSG00000116560	1	SFPQ	protein_coding	2	2	0.24520	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
9813	1	35601817	35601963	-	ENSG00000126067	1	PSMB2	protein_coding	1	3	0.19139	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
9910	1	35923951	35924299	+	ENSG00000092847	1	AGO1	protein_coding	1	3	0.52937	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
10019	1	36087983	36088278	+	ENSG00000092850	1	TEKT2	protein_coding	5	3	0.84693	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
10033	1	36136571	36136578	-	ENSG00000054116	1	TRAPPC3	protein_coding	2	3	0.40946	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
10034	1	36137030	36137044	-	ENSG00000054116	1	TRAPPC3	protein_coding	1	2	0.26490	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
10147	1	36304896	36305357	+	ENSG00000054118	1	THRAP3	protein_coding	5	6	0.46380	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
10163	1	36339624	36339986	-	ENSG00000196182	1	STK40	protein_coding	2	4	0.46727	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
10228	1	36455717	36455839	-	ENSG00000116898	1	MRPS15	protein_coding	2	2	0.34759	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
10294	1	37492574	37493018	-	ENSG00000163875	1	MEAF6	protein_coding	1	2	0.11040	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
10298	1	37493493	37493849	-	ENSG00000163875	1	MEAF6	protein_coding	1	2	0.27092	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
10630	1	39005797	39005905	+	ENSG00000174574	1	AKIRIN1	protein_coding	1	2	0.22337	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
10920	1	39486512	39486994	+	ENSG00000127603	1	MACF1	protein_coding	1	2	0.34125	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
11111	1	40071580	40071871	+	ENSG00000131236	1	CAP1	protein_coding	1	2	0.22310	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
11113	1	40072063	40072080	+	ENSG00000131236	1	CAP1	protein_coding	2	3	0.30488	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
11116	1	40072499	40072648	+	ENSG00000131236	1	CAP1	protein_coding	2	3	0.30728	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
11121	1	40073463	40074100	-	ENSG00000131238	1	PPT1	protein_coding	2	2	0.23938	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
11345	1	40423217	40423326	+	ENSG00000084070	1	SMAP2	protein_coding	5	3	0.30640	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
11807	1	42457245	42458828	+	ENSG00000127125	1	PPCS	protein_coding	2	2	0.20432	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
11812	1	42460188	42460415	+	ENSG00000127125	1	PPCS	protein_coding	2	2	0.24958	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
11883	1	42700254	42701021	+	ENSG00000065978	1	YBX1	protein_coding	12	6	0.46978	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
11886	1	42702096	42702363	+	ENSG00000065978	1	YBX1	protein_coding	2	2	0.08237	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
12335	1	44778661	44778740	+	ENSG00000142937	1	RPS8	protein_coding	4	2	0.18511	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
12353	1	44805585	44805992	+	ENSG00000173846	1	PLK3	protein_coding	1	2	0.27674	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
12641	1	45570017	45570049	+	ENSG00000117448	1	AKR1A1	protein_coding	5	3	0.39628	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
12685	1	45627486	45627609	-	ENSG00000159592	1	GPBP1L1	protein_coding	2	3	0.34298	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
12959	1	46278399	46278798	-	ENSG00000132128	1	LRRC41	protein_coding	4	3	0.35804	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
13085	1	46674924	46675551	-	ENSG00000159658	1	EFCAB14	protein_coding	3	4	0.47760	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
13303	1	47377775	47377868	+	ENSG00000162368	1	CMPK1	protein_coding	1	2	0.18890	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
13305	1	47378697	47378839	+	ENSG00000162368	1	CMPK1	protein_coding	1	2	0.26788	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
14037	1	51788327	51788569	+	ENSG00000117859	1	OSBPL9	protein_coding	1	2	0.38994	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
14039	1	51789191	51789222	-	ENSG00000078618	1	NRDC	protein_coding	5	3	0.40645	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
14104	1	52020130	52020170	-	ENSG00000117862	2	TXNDC12	protein_coding	3	3	0.23665	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
14106	1	52020648	52020654	-	ENSG00000117862	2	TXNDC12	protein_coding	1	2	0.28161	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
14516	1	53051000	53051110	+	ENSG00000116171	1	SCP2	protein_coding	1	2	0.30303	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
14518	1	53051536	53051693	+	ENSG00000116171	1	SCP2	protein_coding	6	4	0.42100	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
14666	1	54031662	54031769	-	ENSG00000116209	1	TMEM59	protein_coding	19	7	0.62271	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
16112	1	64833225	64833229	-	ENSG00000162434	1	JAK1	protein_coding	6	5	0.39973	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
16129	1	64866866	64867215	-	ENSG00000162434	1	JAK1	protein_coding	1	2	0.28394	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
16460	1	66374258	66374350	+	ENSG00000184588	1	PDE4B	protein_coding	1	2	0.27818	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
16593	1	66987280	66988031	+	ENSG00000198160	1	MIER1	protein_coding	2	2	0.57729	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
16600	1	66999213	66999794	-	ENSG00000116704	1	SLC35D1	protein_coding	1	2	0.53618	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
16749	1	67407809	67408627	-	ENSG00000142864	1	SERBP1	protein_coding	2	2	0.11766	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
16755	1	67411016	67411053	-	ENSG00000142864	1	SERBP1	protein_coding	5	5	0.44087	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
16762	1	67413089	67413107	-	ENSG00000142864	1	SERBP1	protein_coding	1	2	0.24801	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
16974	1	70251175	70251258	+	ENSG00000116754	1	SRSF11	protein_coding	2	2	0.29948	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
16977	1	70251790	70251820	+	ENSG00000116754	1	SRSF11	protein_coding	2	3	0.28758	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
16978	1	70252000	70252001	+	ENSG00000116754	1	SRSF11	protein_coding	1	4	0.30622	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
17104	1	71063290	71063363	-	ENSG00000132485	1	ZRANB2	protein_coding	4	4	0.43284	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
17286	1	74766193	74766677	+	ENSG00000162623	1	TYW3	protein_coding	1	2	0.43781	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
18210	1	84237967	84238498	+	ENSG00000142875	1	PRKACB	protein_coding	1	2	0.49802	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
18537	1	85583079	85583116	+	ENSG00000142871	1	CCN1	protein_coding	1	2	0.33351	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
18620	1	86348105	86348542	-	ENSG00000122417	1	ODF2L	protein_coding	1	2	0.15894	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
18623	1	86352882	86353187	-	ENSG00000122417	1	ODF2L	protein_coding	1	2	0.17021	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
18704	1	86747578	86748184	+	ENSG00000097033	1	SH3GLB1	protein_coding	3	3	0.42721	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
18712	1	86862440	86862445	-	ENSG00000183291	1	SELENOF	protein_coding	1	2	0.35171	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
18949	1	88835110	88835922	+	ENSG00000065243	1	PKN2	protein_coding	2	3	0.55454	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
19099	1	89107910	89108124	-	ENSG00000162645	1	GBP2	protein_coding	1	2	0.29891	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
19302	1	89719099	89719537	+	ENSG00000171488	2	LRRC8C	protein_coding	1	2	0.27480	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
19911	1	92841853	92841921	+	ENSG00000122406	1	RPL5	protein_coding	2	2	0.09821	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
20069	1	93151839	93151850	-	ENSG00000117500	1	TMED5	protein_coding	2	3	0.43117	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
20074	1	93154343	93154350	-	ENSG00000117500	1	TMED5	protein_coding	1	3	0.34387	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
