gene	chrom	strand	prox	dist	span	direction	max_abs_dprop	qmax	clean	utr_class	tx	gene_id	name	prox_d	prox_score	dist_d	dist_score	both_in_atlas
ENSMUSG00000051864	15	+	86497342	86498502	1160	shortening	0.722997572815534	0.0107904274680279	True	same 3'UTR interval	ENSMUST00000063414	ENSMUSG00000051864	Tbc1d22a	1.0	0.2667	1.0	40.3387	True
ENSMUSG00000058881	18	+	83001517	83005268	3751	shortening	0.7058823529411765	0.0171939890670329	True	same 3'UTR interval	ENSMUST00000171238	ENSMUSG00000058881	Zfp516	3.0	0.0604	1.0	8.0757	True
ENSMUSG00000078676	11	+	98832603	98833798	1195	shortening	0.7002427184466019	2.4976242966507683e-06	True	same 3'UTR interval	ENSMUST00000017384	ENSMUSG00000078676	Casc3	1.0	0.3131	8.0	47.8331	True
ENSMUSG00000042608	4	+	126139209	126141020	1811	shortening	0.6992753623188406	0.0012900786175747	True	same 3'UTR interval	ENSMUST00000116286	ENSMUSG00000042608	Stk40	1.0	0.0326	1.0	79.0845	True
ENSMUSG00000019969	12	+	83734500	83735092	592	shortening	0.6956752089792394	1.919950343677491e-09	True	same 3'UTR interval	ENSMUST00000041806	ENSMUSG00000019969	Psen1	1.0	8.0392	1.0	38.8711	True
ENSMUSG00000032115	9	+	44391298	44392358	1060	shortening	0.6794871794871795	0.0279336753169625	True	same 3'UTR interval	ENSMUST00000066601	ENSMUSG00000032115	Hyou1	21.0	0.0277	7.0	5.6389	True
ENSMUSG00000029188	5	+	53069961	53071653	1692	shortening	0.6763038548752834	2.114807602091241e-05	True	same 3'UTR interval	ENSMUST00000094787	ENSMUSG00000029188	Slc34a2	15.0	0.267	8.0	3.2371	True
ENSMUSG00000040560	18	+	63987364	63989759	2395	shortening	0.6666666666666666	0.0117035472904387	True	same 3'UTR interval	ENSMUST00000072726	ENSMUSG00000040560	Wdr7			19.0	34.0603	False
ENSMUSG00000032905	18	-	46734255	46732424	1831	shortening	0.6499202551834131	9.513543126396391e-12	True	same 3'UTR interval	ENSMUST00000035648	ENSMUSG00000032905	Atg12	2.0	5.4201	2.0	29.7362	True
ENSMUSG00000036817	5	+	139248658	139249791	1133	shortening	0.6442307692307693	1.883082711251048e-05	True	same 3'UTR interval	ENSMUST00000058716	ENSMUSG00000036817	Sun1	0.0	1.0964	3.0	23.6336	True
ENSMUSG00000040659	4	-	141859611	141858463	1148	shortening	0.6355368234250223	0.0063695322933406	True	same 3'UTR interval	ENSMUST00000036854	ENSMUSG00000040659	Efhd2	2.0	12.8267	1.0	4.3855	True
ENSMUSG00000026854	2	+	31021722	31022640	918	shortening	0.6341880341880342	7.312678166178682e-15	True	same 3'UTR interval	ENSMUST00000102849	ENSMUSG00000026854	Usp20	1.0	2.404	1.0	28.234	True
ENSMUSG00000022827	16	+	37571370	37572380	1010	shortening	0.6305595408895265	8.061396253585373e-12	True	same 3'UTR interval	ENSMUST00000023524	ENSMUSG00000022827	Rabl3	1.0	0.2152	23.0	3.8655	True
ENSMUSG00000022314	15	-	51963943	51962603	1340	shortening	0.6303418803418803	7.612011077993752e-05	True	same 3'UTR interval	ENSMUST00000022927	ENSMUSG00000022314	Rad21	14.0	0.0222	2.0	7.5792	True
ENSMUSG00000031904	8	+	106196750	106198022	1272	shortening	0.6273291925465838	0.0204180688693065	True	same 3'UTR interval	ENSMUST00000034378	ENSMUSG00000031904	Slc7a6	1.0	2.0111	1.0	22.4795	True
ENSMUSG00000020553	11	-	89984555	89983427	1128	shortening	0.6229860365198712	0.0011193707779067	True	same 3'UTR interval	ENSMUST00000020864	ENSMUSG00000020553	Pctp			0.0	10.0237	False
ENSMUSG00000015776	2	-	26907896	26905266	2630	shortening	0.6189928530354063	0.003171905267242	True	same 3'UTR interval	ENSMUST00000102899	ENSMUSG00000015776	Med22	0.0	0.0269	1.0	47.6213	True
ENSMUSG00000022965	16	+	91563246	91564004	758	shortening	0.6118793211816467	0.0021112532710968	True	same 3'UTR interval	ENSMUST00000023687	ENSMUSG00000022965	Ifngr2	10.0	0.85	4.0	21.1256	True
ENSMUSG00000019978	10	+	25522448	25523513	1065	shortening	0.6060744810744811	1.468137890430682e-06	True	same 3'UTR interval	ENSMUST00000053748	ENSMUSG00000019978	Epb41l2	0.0	4.6867	18.0	90.3958	True
ENSMUSG00000046822	10	-	81030792	81028539	2253	shortening	0.6023974455165675	4.800525105693407e-07	True	same 3'UTR interval	ENSMUST00000117276	ENSMUSG00000046822	Slc39a3			2.0	16.3488	False
ENSMUSG00000031007	X	+	12616000	12616739	739	shortening	0.6021505376344085	0.0007182439480617	True	same 3'UTR interval	ENSMUST00000033313	ENSMUSG00000031007	Atp6ap2	0.0	0.4857	1.0	101.5866	True
ENSMUSG00000026917	2	+	27535310	27536534	1224	shortening	0.5860491709548312	0.0017905343117092	True	same 3'UTR interval	ENSMUST00000113952	ENSMUSG00000026917	Wdr5	1.0	6.4313	1.0	49.8196	True
ENSMUSG00000040652	9	+	65689457	65690296	839	shortening	0.5820867614061331	0.0002317476473316	True	same 3'UTR interval	ENSMUST00000153700	ENSMUSG00000040652	Oaz2	6.0	0.0149	1.0	44.9545	True
ENSMUSG00000015363	15	+	89086132	89087070	938	shortening	0.5793650793650793	0.0310761322521813	True	same 3'UTR interval	ENSMUST00000081702	ENSMUSG00000015363	Trabd	0.0	3.4195	1.0	19.3294	True
ENSMUSG00000014077	2	+	119585342	119587026	1684	shortening	0.5786163522012578	1.682476729919841e-06	True	same 3'UTR interval	ENSMUST00000014221	ENSMUSG00000014077	Chp1			15.0	49.7374	False
ENSMUSG00000008200	2	+	90779717	90780473	756	shortening	0.5757575757575758	0.0485260969177469	True	same 3'UTR interval	ENSMUST00000238890	ENSMUSG00000008200	Fnbp4			1.0	24.7018	False
ENSMUSG00000052144	6	+	100866677	100868009	1332	shortening	0.5727076770021555	1.0062686054338369e-07	True	same 3'UTR interval	ENSMUST00000063854	ENSMUSG00000052144	Ppp4r2			2.0	1.2174	False
ENSMUSG00000044768	1	-	97643900	97636109	7791	lengthening	0.5646411602900725	0.0005244014090962	True	same 3'UTR interval	ENSMUST00000053033	ENSMUSG00000044768	D1Ertd622e	6.0	40.8134	2.0	0.119	True
ENSMUSG00000028923	4	-	141067250	141066516	734	shortening	0.5569094238625159	0.0131572495423195	True	same 3'UTR interval	ENSMUST00000030760	ENSMUSG00000028923	Necap2	7.0	0.7684	2.0	74.9133	True
ENSMUSG00000039463	2	+	167474638	167476999	2361	shortening	0.5531135531135531	0.0013708936227269	True	same 3'UTR interval	ENSMUST00000047815	ENSMUSG00000039463	Slc9a8	0.0	1.1465	0.0	20.1156	True
ENSMUSG00000039361	7	+	90207798	90208929	1131	shortening	0.5473496128648004	0.0005588513579991	True	same 3'UTR interval	ENSMUST00000207225	ENSMUSG00000039361	Picalm	0.0	4.2753	3.0	165.6152	True
ENSMUSG00000027598	2	+	155224609	155226483	1874	shortening	0.5416666666666666	0.0360872081568454	True	same 3'UTR interval	ENSMUST00000029126	ENSMUSG00000027598	Itch	0.0	0.0796			False
ENSMUSG00000029174	5	+	64350208	64351480	1272	shortening	0.531524926686217	2.2396304281292665e-06	True	same 3'UTR interval	ENSMUST00000043893	ENSMUSG00000029174	Tbc1d1	0.0	8.8106	0.0	20.2307	True
ENSMUSG00000021540	13	+	56737644	56742373	4729	shortening	0.5308823529411766	0.0252752947102176	True	same 3'UTR interval	ENSMUST00000069557	ENSMUSG00000021540	Smad5			0.0	29.1961	False
ENSMUSG00000068663	16	+	10744663	10744872	209	lengthening	0.5281531531531531	0.0080988577860449	True	same 3'UTR interval	ENSMUST00000115824	ENSMUSG00000068663	Clec16a	3.0	0.5271	1.0	28.2323	True
ENSMUSG00000094378	X	+	149826241	149826692	451	shortening	0.5233201581027668	0.0010204204361718	True	same 3'UTR interval	ENSMUST00000101180	ENSMUSG00000094378	Gm15097					False
ENSMUSG00000022892	16	-	84955228	84954439	789	shortening	0.5206949412365867	0.0005460317996706	True	same 3'UTR interval	ENSMUST00000227723	ENSMUSG00000022892	App			1.0	391.3561	False
ENSMUSG00000006373	X	+	36604986	36606076	1090	shortening	0.5195725534308211	6.616490693261047e-08	True	same 3'UTR interval	ENSMUST00000073339	ENSMUSG00000006373	Pgrmc1	5.0	3.6603	18.0	45.7656	True
ENSMUSG00000022529	16	+	3749867	3749980	113	shortening	0.5161396574440054	0.0023162201547539	True	same 3'UTR interval	ENSMUST00000023176	ENSMUSG00000022529	Zfp263			4.0	0.0351	False
ENSMUSG00000030682	7	+	126979746	126980498	752	shortening	0.5147392290249433	0.0217702395114147	True	same 3'UTR interval	ENSMUST00000206794	ENSMUSG00000030682	Cdipt	1.0	0.0158	1.0	122.4148	True
ENSMUSG00000038615	11	-	96819059	96817417	1642	shortening	0.5079365079365079	0.0079612255353887	True	same 3'UTR interval	ENSMUST00000169828	ENSMUSG00000038615	Nfe2l1	2.0	0.5809	3.0	26.3461	True
ENSMUSG00000028059	3	+	88646934	88648051	1117	shortening	0.4984301412872841	0.029191356659321	True	same 3'UTR interval	ENSMUST00000176500	ENSMUSG00000028059	Arhgef2	5.0	56.88			False
ENSMUSG00000021670	13	-	96650492	96649335	1157	shortening	0.4826472962066183	0.0138736099289347	True	same 3'UTR interval	ENSMUST00000022176	ENSMUSG00000021670	Hmgcr	5.0	3.7628	0.0	21.3625	True
ENSMUSG00000019715	2	+	29958577	29959417	840	shortening	0.4795805739514349	0.0045280226504846	True	same 3'UTR interval	ENSMUST00000019859	ENSMUSG00000019715	Gle1	19.0	1.2509	3.0	22.7333	True
ENSMUSG00000022964	16	-	91575914	91574509	1405	shortening	0.4756900212314224	0.0232692228444989	True	same 3'UTR interval	ENSMUST00000023686	ENSMUSG00000022964	Tmem50b	2.0	0.1788	1.0	114.7398	True
ENSMUSG00000000826	2	+	181549587	181552879	3292	shortening	0.4734693877551021	0.0186583199397723	True	same 3'UTR interval	ENSMUST00000072334	ENSMUSG00000000826	Dnajc5			1.0	83.3039	False
ENSMUSG00000000594	11	+	55109768	55110897	1129	shortening	0.4645324936587073	0.0176007739792561	True	same 3'UTR interval	ENSMUST00000000608	ENSMUSG00000000594	Gm2a	3.0	0.0166	1.0	23.354	True
ENSMUSG00000033323	18	-	80408505	80407964	541	shortening	0.4640985324947589	0.0033314104632605	True	same 3'UTR interval	ENSMUST00000036229	ENSMUSG00000033323	Ctdp1	7.0	0.3657	1.0	12.2723	True
ENSMUSG00000020776	11	-	116143241	116142285	956	shortening	0.4617647058823529	0.010686505547325	True	same 3'UTR interval	ENSMUST00000103031	ENSMUSG00000020776	Fbf1			1.0	26.6952	False
ENSMUSG00000003062	13	-	19357895	19357850	45	shortening	0.4599807135969141	0.0209383807964088	True	same 3'UTR interval	ENSMUST00000197565	ENSMUSG00000003062	Stard3nl					False
ENSMUSG00000040322	3	+	109166834	109168452	1618	shortening	0.4598108747044918	5.55747605011249e-06	True	same 3'UTR interval	ENSMUST00000029477	ENSMUSG00000040322	Slc25a24	1.0	0.2046	1.0	30.7129	True
ENSMUSG00000046062	1	+	133136895	133139782	2887	shortening	0.4559617781470711	1.7330723680698075e-05	True	same 3'UTR interval	ENSMUST00000052529	ENSMUSG00000046062	Ppp1r15b	1.0	0.0302	15.0	25.3965	True
ENSMUSG00000059878	6	-	116626145	116624922	1223	shortening	0.4497354497354497	0.0021689074174474	True	same 3'UTR interval	ENSMUST00000079749	ENSMUSG00000059878	Zfp422			0.0	16.635	False
ENSMUSG00000024687	19	+	11992190	11994104	1914	shortening	0.4466612707405909	2.7002327805273763e-09	True	same 3'UTR interval	ENSMUST00000025590	ENSMUSG00000024687	Osbp	0.0	0.8553	11.0	18.4443	True
ENSMUSG00000079395	X	+	148520976	148521444	468	shortening	0.4461538461538461	2.617604929178616e-05	True	same 3'UTR interval	ENSMUST00000112788	ENSMUSG00000079395	Gm15114					False
ENSMUSG00000018326	2	+	164016812	164018587	1775	shortening	0.4443173150266971	3.7595784416845486e-05	True	same 3'UTR interval	ENSMUST00000018470	ENSMUSG00000018326	Ywhab	1.0	47.4096	0.0	430.9259	True
ENSMUSG00000018379	11	+	88049667	88053754	4087	shortening	0.4389140271493212	0.024312496733971	True	same 3'UTR interval	ENSMUST00000139129	ENSMUSG00000018379	Srsf1	3.0	0.0526	5.0	27.7314	True
ENSMUSG00000031931	9	-	14781070	14779781	1289	shortening	0.4378830485254885	0.0039016359396126	True	same 3'UTR interval	ENSMUST00000216372	ENSMUSG00000031931	Ankrd49	14.0	0.6264	4.0	2.4292	True
ENSMUSG00000037426	5	+	32991389	32994229	2840	shortening	0.4252450980392157	0.0213780717792196	True	same 3'UTR interval	ENSMUST00000087897	ENSMUSG00000037426	Depdc5			7.0	6.1517	False
ENSMUSG00000009733	15	-	100504018	100502795	1223	shortening	0.4228571428571428	0.0315933699753515	True	same 3'UTR interval	ENSMUST00000229696	ENSMUSG00000009733	Tfcp2			2.0	2.9518	False
ENSMUSG00000048039	3	+	87939479	87940685	1206	shortening	0.4148936170212766	0.0365097196519417	True	same 3'UTR interval	ENSMUST00000055984	ENSMUSG00000048039	Isg20l2	0.0	1.2558	1.0	10.9421	True
ENSMUSG00000056413	5	-	139272862	139271882	980	shortening	0.4074866310160427	0.0092273713044694	True	same 3'UTR interval	ENSMUST00000110865	ENSMUSG00000056413	Adap1			6.0	6.6805	False
ENSMUSG00000038065	6	+	54699262	54700011	749	shortening	0.4023020005480953	0.0142016015308324	True	same 3'UTR interval	ENSMUST00000190641	ENSMUSG00000038065	Mturn	3.0	0.3031	7.0	0.2547	True
ENSMUSG00000002741	11	+	5966293	5967779	1486	shortening	0.4018761726078799	0.0055713402693697	True	same 3'UTR interval	ENSMUST00000002818	ENSMUSG00000002741	Ykt6	0.0	4.4058	1.0	168.7413	True
ENSMUSG00000094941	X	+	149304533	149305001	468	shortening	0.3995640509725017	3.872837700050312e-05	True	same 3'UTR interval	ENSMUST00000179021	ENSMUSG00000094941	Gm15093					False
ENSMUSG00000095621	X	+	149487314	149487782	468	shortening	0.3995640509725017	3.872837700050312e-05	True	same 3'UTR interval	ENSMUST00000178169	ENSMUSG00000095621	Gm15085					False
ENSMUSG00000094885	X	+	149137682	149138150	468	shortening	0.3995640509725017	3.872837700050312e-05	True	same 3'UTR interval	ENSMUST00000179348	ENSMUSG00000094885	Ott					False
ENSMUSG00000037461	1	+	191621598	191622673	1075	shortening	0.3988888888888889	0.0009020638289494	True	same 3'UTR interval	ENSMUST00000045450	ENSMUSG00000037461	Ints7	1.0	3.6887	1.0	21.4391	True
ENSMUSG00000027589	2	+	181855448	181855598	150	shortening	0.3936523762047191	0.0427222761381335	True	same 3'UTR interval	ENSMUST00000029116	ENSMUSG00000027589	Pcmtd2					False
ENSMUSG00000072931	X	+	148032703	148033172	469	shortening	0.3905564332104617	6.26867032280466e-05	True	same 3'UTR interval	ENSMUST00000112804	ENSMUSG00000072931	Gm15080					False
ENSMUSG00000005225	6	+	54641032	54645822	4790	shortening	0.3897804054054054	0.0443070075690443	True	same 3'UTR interval	ENSMUST00000119706	ENSMUSG00000005225	Plekha8			15.0	7.869	False
ENSMUSG00000023345	9	+	106349876	106350521	645	shortening	0.3831578947368421	0.019485813113173	True	same 3'UTR interval	ENSMUST00000072206	ENSMUSG00000023345	Poc1a	0.0	12.2756	0.0	1.249	True
ENSMUSG00000041028	14	-	37121950	37120816	1134	shortening	0.3823589858565476	0.0447058183462406	True	same 3'UTR interval	ENSMUST00000165649	ENSMUSG00000041028	Ghitm	18.0	65.3173	1.0	204.4315	True
ENSMUSG00000029314	5	+	100897862	100899095	1233	shortening	0.3820326678765881	0.0115336243122508	True	same 3'UTR interval	ENSMUST00000112887	ENSMUSG00000029314	Gpat3			1.0	31.5489	False
ENSMUSG00000030498	7	+	51993520	51994513	993	shortening	0.3793103448275862	0.0005257626511164	True	same 3'UTR interval	ENSMUST00000129604	ENSMUSG00000030498	Gas2	8.0	0.7607	2.0	3.1444	True
ENSMUSG00000091477	14	+	43550770	43551183	413	shortening	0.370949074074074	0.0377340564072032	True	same 3'UTR interval	ENSMUST00000169023	ENSMUSG00000091477	Gm5799					False
ENSMUSG00000019809	10	-	13524772	13524134	638	shortening	0.3709422492401215	0.0170308927821536	True	same 3'UTR interval	ENSMUST00000019945	ENSMUSG00000019809	Pex3			16.0	8.7211	False
ENSMUSG00000021892	14	-	31374979	31373874	1105	shortening	0.3657534246575342	0.0376100248002068	True	same 3'UTR interval	ENSMUST00000100730	ENSMUSG00000021892	Sh3bp5			11.0	0.0886	False
ENSMUSG00000022790	16	+	39025365	39027158	1793	shortening	0.3562443845462714	9.176842743996964e-06	True	same 3'UTR interval	ENSMUST00000023478	ENSMUSG00000022790	Igsf11	4.0	1.0268	20.0	5.9323	True
ENSMUSG00000060904	10	+	88743203	88744093	890	shortening	0.3546147978642258	6.39277491725624e-05	True	same 3'UTR interval	ENSMUST00000116234	ENSMUSG00000060904	Arl1			10.0	93.1899	False
ENSMUSG00000040061	2	-	118708843	118707956	887	shortening	0.3460365853658536	0.0480075370548499	True	same 3'UTR interval	ENSMUST00000102524	ENSMUSG00000040061	Plcb2			15.0	0.5197	False
ENSMUSG00000032977	10	-	77488172	77486663	1509	shortening	0.3371212121212121	0.0077458341474166	True	same 3'UTR interval	ENSMUST00000045454	ENSMUSG00000032977	Fam207a	10.0	14.2252	1.0	22.9851	True
ENSMUSG00000001833	9	+	25307790	25308565	775	shortening	0.3336007130124777	6.630271833977234e-08	True	same 3'UTR interval	ENSMUST00000115272	ENSMUSG00000001833	Septin7			1.0	224.2979	False
ENSMUSG00000027952	3	+	89468834	89469008	174	shortening	0.3267195767195767	1.3889695819421484e-05	True	same 3'UTR interval	ENSMUST00000198440	ENSMUSG00000027952	Pmvk	1.0	0.8502	0.0	28.6659	True
ENSMUSG00000022035	14	+	65865255	65866601	1346	shortening	0.3263673890608875	0.0133714616650337	True	same 3'UTR interval	ENSMUST00000022614	ENSMUSG00000022035	Ccdc25	3.0	0.8902	3.0	29.9418	True
ENSMUSG00000022545	16	+	13148269	13148500	231	shortening	0.3219834710743802	0.024824388006744	True	same 3'UTR interval	ENSMUST00000023206	ENSMUSG00000022545	Ercc4					False
ENSMUSG00000056912	10	+	100618311	100618400	89	shortening	0.314044597096627	0.0009044488276174	True	same 3'UTR interval	ENSMUST00000190708	ENSMUSG00000056912	1700017N19Rik	2.0	2.8838			False
ENSMUSG00000022765	16	+	17428410	17429290	880	shortening	0.3099614845938375	0.0477656466932088	True	same 3'UTR interval	ENSMUST00000023449	ENSMUSG00000022765	Snap29	1.0	3.0042	1.0	0.1521	True
ENSMUSG00000020493	11	-	87091700	87089361	2339	shortening	0.3060326770004189	0.0216067712588275	True	same 3'UTR interval	ENSMUST00000051395	ENSMUSG00000020493	Prr11	6.0	0.2891	3.0	0.1455	True
ENSMUSG00000003458	1	-	172066587	172066097	490	shortening	0.3014705882352941	0.0051097652126134	True	same 3'UTR interval	ENSMUST00000003550	ENSMUSG00000003458	Ncstn	5.0	0.0155	2.0	15.3996	True
ENSMUSG00000028419	4	+	40964771	40965300	529	shortening	0.2974373740282176	0.0263822494839918	True	same 3'UTR interval	ENSMUST00000030128	ENSMUSG00000028419	Chmp5	1.0	0.287	2.0	71.0649	True
ENSMUSG00000034940	11	+	84041014	84044573	3559	shortening	0.2926829268292683	0.0374561678546215	True	same 3'UTR interval	ENSMUST00000092834	ENSMUSG00000034940	Synrg	1.0	9.7455	1.0	12.8914	True
ENSMUSG00000040978	11	+	9068751	9069355	604	shortening	0.2907495256166983	9.967519056594774e-10	True	same 3'UTR interval	ENSMUST00000043285	ENSMUSG00000040978	Gm11992			4.0	1.5939	False
ENSMUSG00000031953	8	-	111865794	111864991	803	shortening	0.2904761904761904	0.0080945688160122	True	same 3'UTR interval	ENSMUST00000034431	ENSMUSG00000031953	Tmem170	13.0	0.1063	1.0	0.1601	True
ENSMUSG00000054752	4	+	53701530	53707007	5477	shortening	0.2855113636363636	0.0453300848409089	True	same 3'UTR interval	ENSMUST00000132151	ENSMUSG00000054752	Fsd1l	2.0	0.0337	1.0	3.0302	True
ENSMUSG00000024197	17	-	56279653	56278965	688	shortening	0.2799999999999999	0.0267101856453143	True	same 3'UTR interval	ENSMUST00000019726	ENSMUSG00000024197	Plin3	2.0	0.0781	3.0	49.4497	True
ENSMUSG00000038909	11	-	95275669	95274259	1410	shortening	0.276382291468744	1.9678782377820985e-06	True	same 3'UTR interval	ENSMUST00000092766	ENSMUSG00000038909	Kat7			1.0	54.7267	False
ENSMUSG00000036299	18	+	75009395	75009933	538	shortening	0.2692307692307693	0.0105960869510926	True	same 3'UTR interval	ENSMUST00000040284	ENSMUSG00000036299	BC031181			1.0	327.7371	False
ENSMUSG00000069539	10	-	89640106	89639066	1040	shortening	0.2600671140939597	0.0186589092629023	True	same 3'UTR interval	ENSMUST00000174252	ENSMUSG00000069539	Scyl2	3.0	1.9248			False
ENSMUSG00000039523	4	+	154007220	154008614	1394	shortening	0.2536782154722354	0.0431797401875206	True	same 3'UTR interval	ENSMUST00000047497	ENSMUSG00000039523	Cep104	3.0	3.4112	1.0	0.2285	True
ENSMUSG00000027180	2	+	104060164	104061399	1235	shortening	0.25278761642398	0.0068864832338557	True	same 3'UTR interval	ENSMUST00000028603	ENSMUSG00000027180	Fbxo3	2.0	0.3819	8.0	21.7872	True
ENSMUSG00000031381	X	+	164432054	164433683	1629	shortening	0.2505085730892182	0.0379042618786201	True	same 3'UTR interval	ENSMUST00000112257	ENSMUSG00000031381	Piga	1.0	1.4103	11.0	0.7329	True
ENSMUSG00000090440	14	+	41580260	41580966	706	shortening	0.2502708559046587	0.0126659928635799	True	same 3'UTR interval	ENSMUST00000163912	ENSMUSG00000090440	1700049E17Rik2					False
ENSMUSG00000079271	14	+	41931992	41932698	706	shortening	0.2502708559046587	0.0126659928635799	True	same 3'UTR interval	ENSMUST00000095985	ENSMUSG00000079271	1700049E17Rik1					False
ENSMUSG00000022789	16	-	16313833	16312236	1597	shortening	0.2499309498235384	1.7978274567689088e-06	True	same 3'UTR interval	ENSMUST00000023477	ENSMUSG00000022789	Dnm1l			6.0	46.9989	False
ENSMUSG00000020107	10	-	59988581	59987907	674	shortening	0.2421773142112124	0.0231175487229764	True	same 3'UTR interval	ENSMUST00000182898	ENSMUSG00000020107	Anapc16			2.0	85.4961	False
ENSMUSG00000041193	4	-	138800121	138799253	868	shortening	0.2344322344322343	0.0187393234963125	True	same 3'UTR interval	ENSMUST00000102512	ENSMUSG00000041193	Pla2g5			11.0	1.9642	False
ENSMUSG00000015757	10	+	7821422	7822562	1140	shortening	0.2271308523409363	0.0188064514550641	True	same 3'UTR interval	ENSMUST00000015901	ENSMUSG00000015757	Ppil4	1.0	0.0127	0.0	34.7646	True
ENSMUSG00000024052	17	+	71247327	71247803	476	shortening	0.2159380060143419	0.0395761546114001	True	same 3'UTR interval	ENSMUST00000129635	ENSMUSG00000024052	Lpin2	1.0	0.4818			False
ENSMUSG00000006273	8	+	69112704	69113706	1002	shortening	0.2144451207141408	0.0010551347566783	True	same 3'UTR interval	ENSMUST00000006435	ENSMUSG00000006273	Atp6v1b2	11.0	1.6873	14.0	132.8416	True
ENSMUSG00000044477	17	+	30208408	30209974	1566	shortening	0.1641514115273837	0.0490005138564351	True	same 3'UTR interval	ENSMUST00000226208	ENSMUSG00000044477	Zfand3	0.0	20.4801	0.0	2.8481	True
ENSMUSG00000031430	X	+	140938232	140938735	503	shortening	0.1520547945205479	0.0020365438906239	True	same 3'UTR interval	ENSMUST00000033806	ENSMUSG00000031430	Vsig1	18.0	0.1958			False
ENSMUSG00000021176	12	-	99718905	99718187	718	shortening	0.1501405058209554	0.0350467099091007	True	same 3'UTR interval	ENSMUST00000046485	ENSMUSG00000021176	Efcab11	2.0	0.7055			False
ENSMUSG00000035992	11	+	54515908	54518235	2327	shortening	0.1478458656676478	0.0139845870977926	True	same 3'UTR interval	ENSMUST00000046835	ENSMUSG00000035992	Fnip1			0.0	55.2639	False
ENSMUSG00000031065	X	+	20698885	20699879	994	shortening	0.0977443609022556	0.0006319684530761	True	same 3'UTR interval	ENSMUST00000115364	ENSMUSG00000031065	Cdk16	0.0	20.5749			False
ENSMUSG00000029168	5	+	30796528	30798967	2439	shortening	0.0876632801161103	0.027977926688078	True	same 3'UTR interval	ENSMUST00000114729	ENSMUSG00000029168	Dpysl5	1.0	0.997	1.0	1.9241	True
