panel	strand	scope	cutoff_bp	covered_bp	denominator_bp	fraction	source
b	minus	gene_bodies	500	172419771	1795671991	0.096020	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	minus	genome	1000	405292601	3088269832	0.131236	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	minus	gene_bodies	1000	304892840	1795671991	0.169793	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	mean_of_strands	genome	10		3088269832	0.001931	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	mean_of_strands	gene_bodies	10		1795671991	0.002731	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	mean_of_strands	genome	25		3088269832	0.004606	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	mean_of_strands	gene_bodies	25		1795671991	0.006492	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	mean_of_strands	genome	50		3088269832	0.008731	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	mean_of_strands	gene_bodies	50		1795671991	0.012210	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	mean_of_strands	genome	100		3088269832	0.016367	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	mean_of_strands	gene_bodies	100		1795671991	0.022645	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	mean_of_strands	genome	200		3088269832	0.030458	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	mean_of_strands	gene_bodies	200		1795671991	0.041606	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	mean_of_strands	genome	500		3088269832	0.068021	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	mean_of_strands	gene_bodies	500		1795671991	0.091093	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	mean_of_strands	genome	1000		3088269832	0.121923	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	mean_of_strands	gene_bodies	1000		1795671991	0.160260	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	both	genome		568608	3088269832	5431.281009	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5) | fraction column here = bp of genome per curated site (replaces the retired 'every 168 bp')
